ID,MLR,ANN,GWR,GWANN,AGWNN
1,2.137168752,2.02491898,1.185691775,1.048141604,0.853070973
2,2.073113202,1.964129248,1.194323607,1.0393048,0.894601089
3,2.058707763,1.936212893,1.332298671,1.223091739,0.967082401
4,2.245836506,2.126694243,1.122429613,0.993372507,0.711198229
5,2.034316049,1.909872809,1.128585354,0.988946554,0.807082516
6,2.007464727,1.880895795,1.255934166,1.142370479,0.943983146
7,2.12577066,2.013563434,1.125889306,1.010132017,0.764282481
8,2.077878699,1.969515689,1.330087149,1.196184491,0.987917697
9,2.056041684,1.94519228,1.326470666,1.182624772,0.966806933
10,2.274772937,2.149238362,1.717843489,1.587931656,1.406396791
11,2.214047001,2.096355008,1.435327465,1.305669965,1.133894558
12,2.013464935,1.89646629,1.055568901,0.931976154,0.7250984
13,2.161817396,2.044607806,1.303717382,1.155592505,0.977777154
14,2.062483916,1.946680436,1.217435281,1.074353262,0.835393085
15,2.095568363,1.969024858,1.237559008,1.119990665,0.9648159
16,2.046774753,1.932543117,1.157350233,1.033860205,0.833035972
17,2.25179902,2.120083871,1.535108571,1.394384692,1.185875699
18,2.006102341,1.89204563,1.191753579,1.03944618,0.871268968
19,2.087174827,1.973144244,1.255632963,1.131232284,0.950594674
20,2.014516048,1.888707253,1.317461492,1.191961458,1.000387066
21,2.065672178,1.95645879,1.135750713,1.006392572,0.788943299
22,2.066712624,1.939652065,1.294419513,1.165646966,0.950247428
23,2.187338932,2.066155551,1.509969803,1.355429931,1.169388758
24,2.201577623,2.082681792,1.356047634,1.200187447,1.071880346
25,2.101011733,1.991672045,1.425245655,1.296612835,1.062011525
26,2.163123075,2.037777856,1.233636996,1.056033787,0.844072205
27,2.076002264,1.952215645,1.131962931,0.988299377,0.775463407
28,2.000022821,1.889470133,1.068273436,0.912986963,0.708430607
29,1.977190823,1.846415081,1.148042154,1.011430755,0.80624955
30,2.200085935,2.088395732,1.511071426,1.355879922,1.163782633
31,2.036471946,1.910550467,1.206202609,1.08226924,0.899072209
32,2.075384158,1.956411311,1.31346281,1.15205054,0.997640983
33,2.098595684,1.984086978,1.256289815,1.141232199,0.904409513
34,2.093044395,1.975839581,1.253905786,1.126037141,0.905341134
35,2.088181345,1.970284064,1.192753034,1.041786448,0.8916944
36,2.257236436,2.136120753,1.780402961,1.633675818,1.424838813
37,2.096847561,1.977030492,1.429649912,1.276155804,1.087209544
38,2.085401775,1.969269766,1.078691059,0.965143923,0.724526653
39,2.069574363,1.952247646,1.09839299,0.984695541,0.793106921
40,2.10534393,1.987668868,1.139935579,1.02267741,0.77798781
41,1.978479709,1.862066169,1.112654511,0.962074167,0.752021972
42,2.094941888,1.981803072,1.158338122,1.028591944,0.812469042
43,2.06628941,1.943193149,1.158524412,1.008649659,0.836904027
44,2.011868114,1.891731308,1.096781046,0.959646759,0.789370173
45,2.149185467,2.02017494,1.273703775,1.160088834,0.969667594
46,2.121850844,1.994891273,1.50897126,1.357375392,1.139228199
47,2.18160164,2.058008196,1.473827126,1.342747512,1.158422539
48,2.061611249,1.945602144,1.107512744,0.960864404,0.770380395
49,2.09847944,1.985367728,1.214768022,1.101275806,0.928371836
50,2.055935938,1.924894965,1.199565638,1.035695461,0.832369708
