SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
481410037,-106.501,31.7683,8.6333,5.762500048,0.19876973,0.11428333,30.149176,0.008396862,2.424752,1170,-988377.610891536,-586152.318471164
130510091,-81.1618,32.1107,14.994175,8.296153848,0.27931112,0.53745,27.433584,0.016881965,2.1936934,3.5,1387839.72185468,-494102.25977321
280490020,-90.1827,32.3291,16.348036,9.409677413,0.26246,0.5821,26.721539,0.016698347,1.5501437,90.75,544487.785112727,-561656.25565349
11011002,-86.2634,32.4128,16.53181,9.489655182,0.25058332,0.59905,27.185831,0.016232414,1.506969,64.25,909346.981279541,-522370.50571888
132150011,-84.9316,32.4297,16.502718,9.164516203,0.24244954,0.57805,27.295485,0.01600972,1.5553747,97.75,1032982.22197295,-506887.232851661
11130003,-84.9997,32.437,16.502718,9.335483782,0.23829907,0.5930333,26.806921,0.015920818,1.8538938,135.5,1026561.13492252,-506816.680290574
220170008,-93.7952,32.4718,17.328491,12.55666657,0.2396699,0.54105,27.483215,0.016875885,2.2045028,73.75,206106.241326991,-560025.100940829
132150001,-84.9789,32.4842,16.502718,9.361290393,0.24244954,0.57805,27.295485,0.01600972,1.5553747,97.75,1027884.51464366,-501364.041196631
220730004,-92.0462,32.51,16.55035,8.961290306,0.23794505,0.61981666,27.391409,0.016620962,1.7146308,23,369353.339798209,-550471.847664204
132150008,-84.9446,32.5213,15.867525,9.01290326,0.24591228,0.6826,27.07551,0.015561919,1.8178521,152.25,1030588.88742942,-496883.267520642
131530001,-83.5978,32.6056,14.954122,8.435483886,0.25770754,0.7033333,26.472126,0.015723113,1.8443263,105,1154240.1255993,-472071.138189339
60730001,-117.059,32.6312,9.309108,8.696666654,0.14385621,0.29081666,19.660656,0.011349157,1.9198562,40.5,-1948806.18630886,-327827.313775726
484391053,-97.3379,32.6648,16.35905,9.833333413,0.21728455,0.46743333,28.911612,0.015320724,2.9793646,227.5,-124771.896360973,-540013.256974759
