SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
120866001,-80.4828,25.4719,9.190314,6.465517204,0.21194318,0.49605998,24.577627,0.014115186,3.2033017,2,1570162.87238458,-1208508.39342854
120860033,-80.3264,25.9419,9.414347,6.446666654,0.22248611,0.29314,24.197989,0.014157887,2.0448868,3,1577381.76746218,-1155058.30133549
120110034,-80.2569,26.0539,9.730701,6.003225796,0.20737647,0.48784,24.208765,0.013981544,2.2574558,3,1582284.5894323,-1141774.39616424
482151046,-98.1521,26.2886,15.824809,13.50714288,0.20535849,0.4498,23.658852,0.013381273,3.9272394,29.75,-216690.281502313,-1244900.30662057
120112003,-80.0964,26.2911,9.730701,6.462962981,0.21590179,0.35752,24.670538,0.01425103,4.3510666,1.75,1593925.78629494,-1113397.11475518
120115005,-80.1764,26.2942,9.730701,5.64545458,0.20631395,0.44838,24.378252,0.013880033,2.7066667,3.75,1585925.81557933,-1114399.61882755
120992005,-80.0928,26.4569,9.730701,5.837037051,0.18585345,0.40941998,24.32318,0.014370305,4.2384067,2.5,1591247.05867364,-1095367.7486143
120573002,-82.2304,27.9657,9.879667,7.103448292,0.17094174,0.63163996,22.87342,0.012421138,2.5405207,19.75,1355029.09954868,-964273.181091206
121031009,-82.7822,27.9863,10.735685,6.555555609,0.1693252,0.47876,22.7856,0.013050085,3.2723527,2.25,1300770.59502768,-969731.768477549
120090007,-80.6286,28.0536,9.468361,5.396551724,0.190625,0.52938,22.598316,0.013297843,3.3888223,7.5,1509790.20042058,-930535.967313865
121171002,-81.3106,28.7461,9.294163,5.671428476,0.18009345,0.56562,22.310581,0.01194136,1.6900691,21.5,1431565.13525057,-865494.904341357
481671034,-94.8613,29.2545,14.470814,8.433333238,0.22384416,0.49142,20.690283,0.013419875,6.0234723,0,110738.824832626,-919406.519818015
480290032,-98.6202,29.5151,11.897685,9.900000095,0.16575384,0.50684,20.255596,0.010910213,2.4312613,281.75,-253992.730104759,-887690.21308649
221090001,-90.7797,29.6793,10.71578,6.890322554,0.1434659,0.72368,20.3551,0.01206506,2.9584522,1,504847.166190232,-859117.717238122
120010023,-82.3878,29.7061,11.185358,7.071428571,0.16692783,0.74072003,21.155642,0.011133912,1.5069768,43.5,1312153.86567916,-775880.206882229
482011035,-95.2576,29.7337,13.123445,10.9321839,0.16816667,0.45856,21.102827,0.012019198,2.3969214,7.75,71784.6207669702,-866673.955119888
482011052,-95.3877,29.8145,13.123445,11.02903231,0.17444615,0.3749,20.783772,0.012181161,1.9643399,14.75,59147.358758926,-857801.897439955
220512001,-90.1098,29.9003,10.685148,7.236666679,0.17225,0.62604004,20.254656,0.012211771,2.1861255,2.5,568035.553718558,-830864.966553494
220870007,-89.9762,29.9432,10.685148,7.553333298,0.17425843,0.4663,20.203753,0.012399173,2.718477,0.25,580601.015346452,-825307.083535848
220710021,-90.1182,29.996,10.685148,7.603225839,0.17444444,0.43432,20.471226,0.012274945,2.1994317,0,566569.719175462,-820316.736829374
220511001,-90.2728,30.0412,10.317608,6.966666651,0.17236471,0.40562,20.855165,0.011833998,2.6331816,0.75,551393.896051602,-816219.319866888
120310098,-81.634,30.1358,10.563768,6.696774237,0.15961905,0.49152002,21.543226,0.011606059,3.2588847,4,1377097.43094146,-718053.966518403
220470005,-91.0626,30.2191,10.40518,7.800000006,0.16170454,0.66859996,20.080564,0.011584682,1.9447792,3.75,474403.235076984,-800765.292705413
220550007,-92.0429,30.2261,10.564759,7.622580644,0.14671622,0.59548,20.50217,0.011739734,3.0098472,9.5,380241.309828715,-804396.964079699
220190009,-93.58,30.2278,11.018032,6.989655117,0.13296969,0.68676,19.865524,0.011670925,3.135753,5.5,232577.250063911,-809164.395916499
120310099,-81.5478,30.3547,10.563768,6.923333327,0.17243119,0.54872,21.45423,0.011413657,3.371807,13.5,1381614.85892894,-692776.815325366
120730012,-84.3464,30.4397,14.839009,9.161290292,0.16403297,0.60784,20.52314,0.010946746,1.6426302,21.25,1114421.89378944,-720179.025201617
220330009,-91.1792,30.462,10.33914,8.233695613,0.1951875,0.43256,19.911533,0.011496106,2.2401822,2.5,461841.815530184,-774400.002030731
10030010,-87.8803,30.4975,11.67,6.853846156,0.149767,0.61658,19.441408,0.011513673,3.4027321,14,776933.398931606,-748961.880312994
221210001,-91.2136,30.5006,10.33914,8.632258072,0.1951875,0.43256,19.911533,0.011496106,2.2401822,2.5,458333.150486338,-770284.010920758
221050001,-90.3772,30.5033,10.317608,6.962068919,0.14833766,0.69718,19.556473,0.011536559,1.9207903,9.5,538320.372938337,-765598.636762198
120330004,-87.2036,30.5254,12.796459,6.512903221,0.13734654,0.54444003,20.083654,0.0117202,2.5001245,23.5,841219.060227736,-740113.376773567
10970003,-88.0878,30.7702,11.116506,7.699999982,0.14004762,0.66304,19.432497,0.011375068,1.4870119,3.5,754605.190580307,-720438.082722136
131850003,-83.2933,30.8486,11.293904,7.832000036,0.17427835,0.59734,20.387825,0.010550826,1.9083899,45.75,1208495.45907447,-662240.755776683
131270006,-81.495,31.1698,12.349391,7.970370346,0.15144555,0.36878,20.483973,0.011038495,2.7632687,1.75,1372848.42892274,-602460.165320707
220790002,-92.4107,31.1778,10.830512,7.776666641,0.1687125,0.63704,18.913391,0.01055128,2.4916112,20.5,340922.839995252,-700104.683275123
10690003,-85.3908,31.2248,13.1093645,8.446666678,0.15845455,0.58812,20.013552,0.009705277,2.3359973,90,1005259.49459669,-645144.425109993
40230004,-110.937,31.3372,6.9035387,5.086666667,0.12723076,0.23517999,16.734741,0.00423415,3.459916,1287,-1410487.96408752,-577731.393053975
130690002,-82.75,31.5131,10.781308,7.319354865,0.16494381,0.67472,20.167324,0.009909278,1.9746863,70.25,1249565.28206942,-581978.630916475
130950007,-84.0998,31.5776,11.960894,11.40731705,0.18493,0.5733,20.520987,0.009803088,2.0168083,61,1122077.26620518,-591703.757134256
481410044,-106.455,31.7657,7.2245245,7.986206869,0.15667164,0.113639995,19.804716,0.003868216,2.9125056,1170,-984097.300230959,-586917.505895832
481410037,-106.501,31.7683,7.2245245,6.092857054,0.15667164,0.113639995,19.804716,0.003868216,2.9125056,1170,-988377.610891536,-586152.318471164
130510091,-81.1618,32.1107,12.630327,7.906741582,0.2021978,0.53516,20.232874,0.010477128,2.6787047,3.5,1387839.72185468,-494102.25977321
280490020,-90.1827,32.3291,10.566575,7.50689652,0.1589518,0.54822,18.292955,0.010123479,2.1151369,90.75,544487.785112727,-561656.25565349
11011002,-86.2634,32.4128,11.911515,8.057142794,0.17524,0.60752,19.131083,0.010183427,1.7521772,64.25,909346.981279541,-522370.50571888
132150011,-84.9316,32.4297,13.839964,9.519354836,0.17033654,0.57084,19.60331,0.009512003,1.8698969,97.75,1032982.22197295,-506887.232851661
11130003,-84.9997,32.437,13.839964,9.916666762,0.16830769,0.57537997,19.14143,0.009491651,2.2246943,135.5,1026561.13492252,-506816.680290574
220170008,-93.7952,32.4718,10.546774,9.653124996,0.17206173,0.51746,18.247849,0.010196913,2.8023481,73.75,206106.241326991,-560025.100940829
132150001,-84.9789,32.4842,13.839964,9.783870912,0.17033654,0.57084,19.60331,0.009512003,1.8698969,97.75,1027884.51464366,-501364.041196631
220730004,-92.0462,32.51,10.577066,6.512903229,0.15986905,0.58574,18.505531,0.010138301,2.0425384,23,369353.339798209,-550471.847664204
132150008,-84.9446,32.5213,12.814518,9.851724148,0.16824299,0.64482,19.254887,0.00927357,2.1390014,152.25,1030588.88742942,-496883.267520642
131530001,-83.5978,32.6056,12.167509,8.283333333,0.16058163,0.67506,18.962772,0.009416753,2.341207,105,1154240.1255993,-472071.138189339
60730001,-117.059,32.6312,7.15595,7.1433333,0.15935849,0.33812,15.609108,0.008116839,1.9010575,40.5,-1948806.18630886,-327827.313775726
484391053,-97.3379,32.6648,11.35889,7.375000094,0.15302128,0.47904,18.229013,0.009269566,3.359538,227.5,-124771.896360973,-540013.256974759
482030002,-94.1675,32.669,10.452385,9.154545437,0.14673077,0.7535,17.643938,0.009888647,1.9588598,90.25,170884.070701967,-538775.464351576
60250005,-115.483,32.6762,19.967594,7.888372138,0.12184671,0.1158,22.195982,0.004648422,3.7110133,0.75,-1804074.49710663,-354040.529461318
484391006,-97.3423,32.7592,11.35889,7.286206936,0.14852747,0.43684,18.453568,0.009319442,2.93893,179.75,-125033.477461644,-529478.021273727
130210007,-83.641,32.7775,13.522492,9.349999968,0.16780189,0.70236,18.888113,0.009471767,1.9291202,114.25,1147755.65677013,-453581.704968431
60731022,-116.944,32.7896,7.15595,6.366304328,0.13563918,0.40304,14.682618,0.007423254,1.3206091,268,-1934474.66775954,-312936.840292031
450190049,-79.9587,32.791,12.361682,7.308888872,0.16152577,0.50388,19.843288,0.010671884,3.006696,3,1486593.85042641,-401048.454219329
60251003,-115.563,32.7922,17.07525,5.468965498,0.15823741,0.4238,21.970116,0.004829132,4.443725,-14.5,-1808732.49095586,-339851.503599796
130210012,-83.5435,32.8053,12.167509,7.816129069,0.16534616,0.6698,19.082687,0.009582679,1.5342584,94,1156353.20617565,-449324.609579489
484391002,-97.3565,32.8058,11.35889,7.190476054,0.16564836,0.3855,18.085228,0.009170614,3.6502185,218,-126281.893019652,-524260.868358976
481130069,-96.8601,32.8201,11.35889,7.65555554,0.15798795,0.39368,18.679647,0.009447529,3.0515716,131.25,-80057.261067182,-523204.425017303
60731016,-117.124,32.8457,7.15595,6.240000002,0.1529697,0.46559998,15.032521,0.008110718,1.7258854,130.25,-1949446.84314638,-303152.195038721
40210001,-111.752,32.8776,11.961169,6.206451639,0.10584783,0.22164,20.310848,0.004552505,2.723691,423,-1458437.62450993,-396003.678558127
40213015,-112.037,32.8848,11.961169,9.987096717,0.12011805,0.28013998,20.518347,0.004833923,2.5365603,390.75,-1484441.42264544,-390798.720537482
133030001,-82.8069,32.9674,11.311862,8.256250039,0.15302885,0.67762,18.336742,0.009532477,1.6818851,143.5,1221802.31515228,-422184.842452488
60250007,-115.539,32.9783,12.638349,6.933333365,0.1448125,0.5454,20.82699,0.005571414,2.8114572,-36.5,-1802305.49995499,-319979.897335427
450190048,-80.065,32.9803,10.73739,7.09340658,0.15784337,0.61542,19.486666,0.010181879,2.2984917,8.75,1473310.31379442,-381879.535684838
50030005,-91.9392,33.1395,10.04923,7.036666679,0.13146155,0.69092,17.520864,0.009838037,1.9188179,49.75,376342.770988554,-479880.295185857
11250004,-87.4842,33.1899,10.732962,7.431034433,0.14341936,0.7176,18.165752,0.009303878,1.9322249,112.5,787899.463134118,-446971.04894235
51390006,-92.6723,33.2206,10.187256,7.819354834,0.15004762,0.70576,17.458027,0.009591832,2.7488542,77.5,308115.142564448,-473473.70929545
10270001,-85.8036,33.2849,11.404093,7.507142859,0.14188044,0.74612,16.497402,0.008917964,2.0673494,359,941708.602329942,-421122.142994306
10731005,-87.0036,33.3311,11.250388,8.129999963,0.15923333,0.63504,18.157389,0.009414354,2.3584692,161.5,830746.109858801,-427180.630696363
40213002,-111.503,33.4212,9.174505,3.931034516,0.10714504,0.29134,19.947937,0.004708129,2.5997815,628.5,-1425734.79800241,-339920.335166497
40137020,-111.855,33.4881,11.89232,5.386666711,0.1316077,0.2153,21.503239,0.004825958,1.6866723,377,-1456568.29730603,-327212.626481742
10732003,-86.9242,33.4997,11.250388,8.860000014,0.17592554,0.64324,18.084309,0.009349257,2.1071298,184,836260.532431925,-407741.668121579
40139997,-112.096,33.5038,11.89232,5.422580665,0.11979365,0.12584,22.398375,0.004906932,1.5681839,333,-1478202.43013655,-321762.691734544
10732059,-86.8441,33.5214,11.039245,8.453333362,0.16854945,0.62102,18.050663,0.009362439,2.075728,177.75,843385.204706526,-404621.381960443
10731010,-86.5492,33.5453,11.36998,7.626666705,0.17031819,0.713,17.268253,0.009317398,2.1283028,233.25,870196.350804232,-399306.06388998
10730023,-86.815,33.5531,11.039245,10.28387091,0.16854945,0.62102,18.050663,0.009362439,2.075728,177.75,845715.715579292,-400838.688667504
130630091,-84.3907,33.6108,11.2299385,8.506451622,0.19420792,0.5183,17.99361,0.008845576,1.165548,296.25,1067154.80542739,-370031.802160077
60592022,-117.676,33.63,9.699705,5.700000007,0.1549785,0.5064,15.080705,0.007303949,1.5493591,235.5,-1979714.97123563,-206391.108338415
130890002,-84.2905,33.6878,11.2299385,8.563440866,0.16406186,0.61218,17.853243,0.008830949,1.1104597,296.75,1075261.83082082,-360365.593735247
60652002,-116.215,33.7085,8.015283,5.774193587,0.16616108,0.2003,22.638731,0.005366528,3.7478282,39.25,-1846520.70720926,-227245.814333569
450370001,-81.8536,33.74,10.675626,7.755555559,0.1488,0.68854,17.94295,0.009438058,1.4831804,173.75,1296661.50648604,-324174.569610408
131210056,-84.3914,33.7784,11.2299385,9.151612912,0.17088763,0.6001,17.743479,0.009017474,0.881199,284.5,1064809.36899481,-351455.995314517
60374004,-118.175,33.7924,11.017509,7.132967059,0.16768104,0.25182,16.231527,0.008067864,2.056824,16.25,-2020274.02097497,-178227.502305813
131210039,-84.4356,33.8022,11.2299385,8.916129051,0.17088763,0.6001,17.743479,0.009017474,0.881199,284.5,1060452.36890575,-349310.842511938
60374002,-118.189,33.8238,11.017509,7.16938772,0.16768104,0.25182,16.231527,0.008067864,2.056824,16.25,-2020714.52109109,-174516.65034034
60590007,-117.938,33.8306,9.699705,7.238461515,0.15635239,0.23568,16.310953,0.007834987,1.588006,50,-1998092.41242365,-179084.452262006
60655001,-116.541,33.8527,8.015283,5.640000002,0.17455244,0.30646,22.500206,0.005311383,3.3409543,161.5,-1872382.20937363,-205125.195877685
60374008,-118.201,33.8597,11.017509,8.43333333,0.16768104,0.25182,16.231527,0.008067864,2.056824,16.25,-2020858.80140578,-170359.084867735
