ID,MLR,ANN,GWR,GWANN,GNNWR,AGWNN
1,0.689911616,0.693565325,0.967287009,0.973306847,0.977643546,0.978936566
2,0.73455577,0.727864364,0.973914858,0.977596792,0.973794342,0.976474263
3,0.72085632,0.719261185,0.963195839,0.969256933,0.97219157,0.976539122
4,0.657812514,0.654855284,0.959694169,0.970000022,0.969108203,0.975388464
5,0.65656143,0.652199023,0.967301793,0.973759478,0.974581366,0.977553283
6,0.747190309,0.751369665,0.972320523,0.977726003,0.977462416,0.980544021
7,0.696876388,0.696809639,0.968520453,0.975913289,0.972804907,0.97506303
8,0.702157551,0.707415737,0.966483593,0.970122246,0.973770784,0.978081766
9,0.654257448,0.650605243,0.966310962,0.971247436,0.970733529,0.973668855
10,0.638240839,0.636382155,0.962891594,0.971580551,0.974678819,0.973343181
11,0.709118295,0.707230697,0.963208526,0.971839011,0.975464525,0.978023434
12,0.705554604,0.712026108,0.968161869,0.971234927,0.97491083,0.976784067
13,0.706536348,0.708737126,0.969215972,0.97450617,0.973861624,0.97760893
14,0.701786877,0.702521998,0.972828487,0.978716061,0.97231598,0.97876222
15,0.705388977,0.703030492,0.968912337,0.973602232,0.973977989,0.978254359
16,0.700179748,0.698851848,0.969262329,0.975057241,0.974822397,0.976673397
17,0.742697344,0.748622975,0.971582763,0.978257104,0.981276869,0.98086037
18,0.692634171,0.693933642,0.969881016,0.975436664,0.974551346,0.980267551
19,0.692746055,0.696469076,0.966196522,0.972997741,0.97250847,0.977025854
20,0.667108661,0.667710738,0.968122213,0.97522039,0.973407249,0.977194179
21,0.611169578,0.611458059,0.958301105,0.967972067,0.970427623,0.971962117
22,0.708891772,0.715729324,0.968713609,0.973787556,0.979732771,0.977845938
23,0.70085207,0.705834537,0.964590156,0.970107909,0.966929473,0.971956062
24,0.70996441,0.72118679,0.96774511,0.973890195,0.97527431,0.980528393
25,0.722370268,0.720335148,0.970269921,0.976576306,0.974435796,0.978619941
26,0.683384626,0.693658878,0.969370352,0.974443038,0.978921739,0.978894192
27,0.680881607,0.683489108,0.964564577,0.972871863,0.974776271,0.978064068
28,0.705309144,0.712240426,0.963884486,0.97043504,0.975317527,0.978409797
29,0.721042359,0.720492371,0.969923544,0.975915178,0.976190092,0.978371684
30,0.68468413,0.682922003,0.965671055,0.972715689,0.976403084,0.977771558
31,0.691655653,0.693768059,0.96899773,0.972931206,0.974951282,0.97589281
32,0.681728811,0.679434805,0.955862204,0.964153665,0.974081197,0.976795705
33,0.700232434,0.701642733,0.97102327,0.977659239,0.980922781,0.981259427
34,0.672809382,0.666806471,0.97125177,0.97587258,0.978883171,0.980689266
35,0.698537001,0.701302793,0.970694093,0.976178658,0.98010056,0.980552829
36,0.682142941,0.680184088,0.967839128,0.97423617,0.975108076,0.976885683
37,0.704805789,0.699793074,0.963333143,0.972267382,0.977021845,0.976985023
38,0.654338061,0.648645103,0.961346114,0.968543683,0.973531491,0.975197217
39,0.734549945,0.74198093,0.969219605,0.975357414,0.976196704,0.978216131
40,0.697597913,0.705186314,0.962860999,0.969797758,0.979379863,0.979775119
41,0.66590127,0.666805777,0.963736994,0.970205677,0.971864272,0.973632261
42,0.669084802,0.670402912,0.965445469,0.972865323,0.978998186,0.976619249
43,0.704590279,0.710724674,0.968964362,0.974475276,0.973685547,0.976884532
44,0.668561231,0.668903301,0.961766685,0.971885417,0.974423184,0.978887955
45,0.712058519,0.712157802,0.967641414,0.974824078,0.976643668,0.976604448
46,0.667441876,0.671924603,0.960541034,0.967273886,0.975296421,0.97616973
47,0.740520841,0.752199125,0.968736286,0.975691638,0.978827909,0.980838978
48,0.664358637,0.65651187,0.96802938,0.973749479,0.973892448,0.977235684
49,0.652433086,0.654407883,0.968698696,0.974300339,0.975300585,0.977054313
50,0.666966348,0.66762163,0.967221533,0.972291118,0.978848596,0.979146472
51,0.689755645,0.691872235,0.963779706,0.97089615,0.97327905,0.974994075
52,0.734279143,0.735964001,0.969147832,0.975208665,0.976648238,0.980821774
53,0.70828483,0.706384996,0.960028169,0.970353666,0.976776897,0.976917655
54,0.704737823,0.703516161,0.971711065,0.975746742,0.974564229,0.978881395
55,0.657144426,0.656140844,0.956305672,0.963844452,0.961547593,0.968664218
56,0.684832246,0.693448447,0.96472244,0.971765791,0.97568458,0.976485043
57,0.680146659,0.674985,0.957645041,0.968798859,0.969152778,0.971650883
58,0.711267412,0.712365133,0.968915729,0.9761669,0.972682175,0.977757437
59,0.680995718,0.679720531,0.963054747,0.969975368,0.974539289,0.978190303
60,0.679686763,0.673221229,0.966253685,0.973983741,0.974150533,0.976259
61,0.685736955,0.690184223,0.965635354,0.969254343,0.976436913,0.978442767
62,0.667618526,0.670709117,0.966883368,0.971578081,0.97636323,0.978224204
63,0.677750635,0.683426492,0.966222471,0.97208179,0.971948414,0.974881032
64,0.716026281,0.723909985,0.972878943,0.976447777,0.97419843,0.979466371
65,0.703330442,0.705470629,0.964587296,0.970993987,0.970863992,0.9795761
66,0.723657506,0.728364919,0.968896334,0.975735663,0.978102648,0.979488983
67,0.713023416,0.715304936,0.971230833,0.973654606,0.975053866,0.977833904
68,0.664294317,0.658605204,0.968833966,0.974623433,0.96990499,0.977179838
69,0.69411842,0.689586578,0.961663564,0.970075604,0.974497804,0.976268714
70,0.694207214,0.694758853,0.966506395,0.974500589,0.974459896,0.976725635
71,0.686196132,0.686640011,0.966949109,0.97323872,0.976554118,0.9761591
72,0.649201925,0.642103234,0.964859935,0.973058466,0.969003582,0.978156562
73,0.682481603,0.679968967,0.968286195,0.976440089,0.981322846,0.979629949
74,0.66997727,0.673430975,0.965934653,0.97307197,0.968941307,0.973465154
75,0.710703739,0.711161755,0.969994643,0.976273464,0.978929373,0.979960311
76,0.692537697,0.69328184,0.96922388,0.973659931,0.973492881,0.975965165
77,0.702128991,0.707298381,0.968541365,0.975304951,0.97356802,0.975750636
78,0.704638222,0.702303449,0.971305904,0.976453797,0.976862095,0.980565461
79,0.659334069,0.664563317,0.966139546,0.970526642,0.976933339,0.977060051
80,0.660926,0.644227355,0.961691704,0.970993701,0.972248329,0.977735236
81,0.688046978,0.687468713,0.962680863,0.971302146,0.970516017,0.974351109
82,0.695059236,0.703060238,0.961932944,0.968902766,0.978497,0.977222038
83,0.712594024,0.712374288,0.967166333,0.974948366,0.976290816,0.97409612
84,0.67101474,0.67039703,0.966753712,0.972339933,0.974033218,0.976170243
85,0.691414176,0.694080521,0.964455651,0.969850989,0.976299387,0.976946748
86,0.682605434,0.680070878,0.966508879,0.973437784,0.974325202,0.975750616
87,0.677181377,0.6735356,0.969454732,0.977136847,0.976904247,0.981001558
88,0.668257689,0.673157257,0.968328437,0.974273742,0.974250199,0.97873777
89,0.663144165,0.656871653,0.964152641,0.968389032,0.976050616,0.978046519
90,0.718979987,0.721120452,0.967743031,0.976145604,0.976751571,0.982145887
91,0.650708392,0.653950037,0.966315526,0.970762704,0.971573027,0.975502316
92,0.692903046,0.695141146,0.967293936,0.971832806,0.971414126,0.974715183
93,0.697453794,0.697302136,0.969444709,0.976512807,0.974947299,0.97959439
94,0.682005361,0.686907428,0.967078527,0.972202469,0.97417293,0.975795381
95,0.721193479,0.721357271,0.968720469,0.976121674,0.975579249,0.978350537
96,0.684460092,0.685058679,0.964965139,0.972866357,0.971946028,0.974982102
97,0.691372193,0.690740851,0.960021349,0.968481778,0.97362105,0.97662759
98,0.678814243,0.679402547,0.965273055,0.971215018,0.976070182,0.978125549
99,0.650393461,0.647031929,0.969014259,0.975106768,0.97587152,0.978537699
100,0.658577836,0.660610126,0.965726394,0.972815181,0.96827013,0.972704665
