Y,MLR_YHat,ANN_YHat,GWR_YHat,GWANN_YHat,GNNWR_YHat,AGWNN_YHat
6.465517204,9.703487117,7.275367075,6.097845787,6.076749749,6.311827316,6.416962689
6.446666654,10.26016933,7.804543765,6.199072039,6.180979768,6.307755882,6.156930164
6.003225796,9.814236194,7.56845488,5.898750575,5.89805735,6.196890101,6.093811632
13.50714288,9.243474096,7.352313858,13.47841434,13.04343959,13.06327355,11.5333601
6.462962981,9.662203576,6.977877724,6.45035526,6.419271603,5.922918491,6.215414718
5.64545458,9.726288239,7.403626438,6.218747887,6.182557539,6.156265361,6.032021456
5.837037051,9.321641344,6.552699772,5.815834478,5.839751115,6.031242632,5.93289849
7.103448292,8.699979832,7.295729433,6.59702488,6.504399144,6.186320713,6.409143517
6.555555609,8.824065007,7.099922577,6.255675708,6.110522902,6.082581265,6.624006052
5.396551724,9.022267879,7.456845635,5.787419444,5.696963247,5.385476188,5.793009648
5.671428476,8.883497991,7.885249574,7.122368323,6.918337421,6.396846759,6.224853945
8.433333238,8.67957724,7.850109893,8.371711758,8.480173987,8.173257705,7.684885225
9.900000095,8.176773629,7.815982672,10.05311605,10.2169338,10.40511869,10.656541
6.890322554,7.918991847,6.987675683,7.044905346,6.856639778,6.643173242,6.519790974
7.071428571,8.304664366,7.641771122,7.224524917,7.180706911,7.005511444,7.099204711
10.9321839,8.620534169,7.775288441,9.63544417,9.625404736,10.31541175,10.69952825
11.02903231,8.88461131,8.122925922,10.03777104,10.10743539,11.19131205,11.03347579
7.236666679,8.526906381,7.925837467,7.682610312,7.504100704,7.569648853,7.628919237
7.553333298,8.628609489,7.961919056,7.358951808,7.189890951,7.257132905,7.188590267
7.603225839,8.770731109,8.078348794,7.586367446,7.38416135,7.639132615,7.752476652
6.966666651,8.593466509,7.899018889,7.878204171,7.722406035,7.428565088,7.273634543
6.696774237,8.22795249,7.291828467,7.248417735,7.159915333,6.858541403,6.828811532
7.800000006,8.249128018,7.727982876,7.805112439,7.595909082,7.809325086,7.968054579
7.622580644,7.994514396,7.163153462,7.463783451,7.269316965,7.269920806,6.967991036
6.989655117,7.65909,6.82266441,7.066768291,6.886761913,7.500988434,7.101237519
6.923333327,8.223025909,7.48044049,7.253089305,7.228036577,6.885741897,6.839303522
