Y,MLR_YHat,ANN_YHat,GWR_YHat,GWANN_YHat,GNNWR_YHat,AGWNN_YHat
7.456666644,10.19310321,9.006720335,7.604657253,7.725418542,7.805186852,7.564091511
7.436666687,11.43491073,8.459704146,7.365186823,7.370493473,7.637307602,7.27666517
7.023333311,10.73826645,8.692850392,6.947566973,7.068864783,7.223796076,6.988813309
12.29500015,9.943105744,9.101829172,12.29750511,12.32059725,12.02257017,12.1764346
8.542857034,10.54261298,8.716626484,8.124725481,8.233331179,8.173572648,8.02157192
6.873333311,10.28927764,8.606677281,7.091384618,7.186764692,7.162138932,7.184729453
7.970000021,10.12556518,9.06133661,7.700755137,7.678947627,7.869598817,7.813772999
6.724999905,10.5852203,9.499948803,7.501229991,7.47498321,7.436420031,7.343065195
9.87500006,9.626732276,8.933013791,9.909932124,9.957117722,9.720562241,10.04445073
8.564516167,9.483968899,8.837525647,8.882057938,8.826015204,8.476840787,8.06474325
9.037499905,9.678236045,9.289565747,8.288904993,8.272561408,8.680000879,8.786443323
11.66593403,10.73544479,8.936541108,10.69522173,10.95348681,10.59475074,10.71147181
10.19310343,11.28891428,8.757775618,10.94636001,11.14783459,10.43391876,10.57823723
9.048275816,10.25293471,8.727999811,9.213337383,9.18504154,9.152037378,8.893272742
9.431250036,10.412903,8.467948002,9.074510666,9.043634336,9.000950868,8.695674539
9.296774187,10.77716746,8.416342633,9.52876618,9.496404575,9.595690746,9.364602885
8.93750003,10.42712943,8.5574262,9.163848593,9.080737691,8.839661207,8.54965848
7.258620649,9.953502879,8.746518673,7.395940381,7.447287544,7.531810792,8.076528705
9.939393896,9.910926294,9.213015061,9.82148881,9.810001878,9.759393839,9.264438207
9.183870977,10.08962521,9.063352052,9.900163043,9.985079982,10.15707913,9.418770813
8.299999985,9.505498427,8.859041876,8.975987935,9.171984537,9.328464726,8.500784368
7.693103363,9.518859548,8.797974798,7.803557604,7.800990367,7.802109375,8.208486956
7.723333367,10.28745555,9.080557824,8.521263957,8.487622547,8.295769457,8.648173586
12.05000001,10.45125347,9.380642147,10.7283436,10.72918308,11.2876135,10.51262478
8.674193575,9.363835948,8.591605789,8.985414775,8.821441605,9.11392482,8.807142547
10.57472527,10.45125347,9.380642147,10.72438553,10.72711637,11.30774964,10.51712354
9.375862105,9.742404429,9.081418654,9.425651333,9.410575436,9.174336,8.784111389
10.12000008,10.4198233,8.715058989,9.329073198,9.232816146,9.481919262,9.777564382
9.546666654,10.14265778,9.013493102,9.420763549,9.298717178,9.606146146,9.877857368
8.150000008,9.974515769,9.475040467,8.047192784,8.028074482,8.118351128,8.116465015
8.096666686,10.19321173,8.752995203,8.105734778,8.136355317,7.659708179,8.174828315
9.183333222,9.382536768,9.007137561,9.694714643,9.843112862,9.721148591,9.173810445
8.627586151,9.491081183,9.334006415,8.918145852,8.885236645,8.77600733,8.899559651
5.793749973,7.793963576,9.072012954,8.13716013,7.231342471,4.652554328,5.889873184
7.66451618,9.383068477,9.474636594,8.461860835,8.502714475,8.553066323,8.324898806
8.674193562,9.792108108,9.21730726,8.885246784,8.890391418,8.651213368,8.690417895
8.796551762,8.940288411,8.518235054,7.259502334,7.048766233,6.636328739,7.222321226
5.762500048,8.940288411,8.518235054,7.259384901,7.024128487,6.619754433,7.215899038
8.296153848,9.83005442,9.240866342,8.226977651,8.258727649,8.110714785,7.787520125
9.409677413,9.799798068,9.097716749,9.841285316,9.823217173,9.898705754,9.458145265
9.489655182,9.649565571,9.03045088,9.555825113,9.526499636,9.525717141,9.998605709
9.164516203,9.614128858,8.947789255,9.672170931,9.677559545,9.483690246,9.902323665
9.335483782,9.309717334,8.879042213,9.393869449,9.362288294,9.292508399,9.608734838
12.55666657,9.632619741,8.812573368,9.743068891,9.98117204,11.66053679,11.15433836
9.361290393,9.614128858,8.947789255,9.682203055,9.684341216,9.512162619,9.938542724
8.961290306,9.538084019,8.836908438,9.718452476,9.890108696,10.1955263,9.921778418
9.01290326,9.007702167,8.982239457,9.519762315,9.53530107,9.582665838,9.746287784
8.435483886,8.946848322,9.049960064,8.7611347,8.789418889,8.856523659,8.638245392
8.696666654,7.818356648,9.278457255,10.66602675,7.948598081,7.641996374,7.531076595
9.833333413,9.158904184,9.203934903,9.226122402,9.11149411,9.163808379,9.594266798
9.581249937,8.985193938,8.840236303,9.44465455,9.551185859,9.462367261,9.89992727
11.83461542,8.622477667,9.86770324,10.61060577,9.82132249,9.967531949,10.77325552
9.522580685,9.468799769,9.206805679,9.629048157,9.586788745,9.516534902,9.686150272
10.01935484,9.043026926,9.157553343,9.06213666,9.13044698,9.13288079,8.919316069
8.864044954,7.721989728,9.280143304,9.071580599,9.385107628,7.428352445,8.224752099
7.44222223,9.820712027,8.695799551,7.612007725,7.750786012,7.552867029,7.579499875
9.733333254,7.762330023,8.311251355,10.50635646,9.955850622,10.49374896,10.32161358
8.525806458,9.402092688,9.313206954,9.256073579,9.297629749,9.423833684,9.252943824
9.115000033,9.487242659,9.225428366,9.457275542,9.483320049,9.280055083,9.554206245
9.489285725,9.746486982,9.139797975,9.826927173,9.813901485,9.782238174,9.973397105
8.184615374,7.655858907,9.313851969,10.34779659,8.571970296,8.021888184,8.054240579
6.9709678,8.583037972,9.401990418,8.050512344,7.835041646,6.543002258,8.354224157
14.6968751,8.418170331,8.782904396,10.13287856,9.769855973,10.81348476,12.31401169
9.344000053,8.694186588,8.89760378,9.419119062,9.479078511,9.141085461,8.880494866
9.680645097,7.951225284,8.172636838,9.399811116,8.928313346,9.494098996,9.418785657
7.702352935,9.483017239,8.965541394,7.928139046,8.010931783,7.941037362,7.724280043
8.590322571,7.405763771,9.154418999,10.53824086,9.200636486,8.617311979,8.858876741
9.945161204,9.226404474,8.797989353,9.386225744,9.571132124,9.633853958,9.506610794
9.396296236,8.726042653,8.702828221,9.631892853,9.615386098,9.979493377,10.0695323
10.56333336,8.840332032,8.689042416,9.519508166,9.639513136,10.15565946,10.37211844
8.606451634,8.250626272,8.436024656,8.501282889,8.494802183,9.436240582,9.134922377
9.883870971,8.896500906,8.81689576,9.407084887,9.363088235,9.860286245,9.946859524
5.403333346,8.536859673,9.404427017,7.262421808,6.893512901,4.495729618,6.373945723
6.725000009,9.356832815,8.550954368,7.782201063,7.161682937,5.397294977,6.798458902
10.01935485,8.883395093,8.86271244,9.654611361,9.661842416,10.00999009,10.19360637
5.693333332,9.675237943,8.850959433,6.607006816,6.22222688,3.961052697,6.22364452
11.13749993,8.844261371,8.846495982,9.672452313,9.644306892,10.01303459,10.21230933
9.987500042,8.393172947,8.472242279,8.98540294,8.930666135,9.724764308,9.628955577
11.17741939,8.844261371,8.846495982,9.67214113,9.646506961,10.01141903,10.20832948
9.899999957,9.738814415,9.183603713,9.405778551,9.41559016,10.18634426,10.21641279
8.561538485,7.490856837,8.829541005,9.19335584,8.833881649,8.970798175,8.96984266
9.19295773,9.235928742,9.230504016,9.508367789,9.590540467,9.913994695,9.797305851
9.067741963,8.711987002,9.422419707,10.38309175,9.381298783,11.07876994,9.920440755
8.569230758,8.826656758,8.791422636,8.521781863,8.615897307,8.500578332,8.158998727
10.55624999,9.549164122,9.347251349,9.484424569,9.559701509,10.09349407,10.00025957
8.809302306,8.184765701,9.808146547,11.14516825,10.02064991,9.556434567,9.800086774
10.18709683,9.549164122,9.347251349,9.481378003,9.563773981,10.07930405,9.994905867
8.762068905,8.184765701,9.808146547,11.14818645,10.00646877,9.610186739,9.832159628
9.620430077,8.356547321,10.32823106,11.00443789,11.07966981,10.41460604,10.89201227
8.496774181,8.126390069,8.978881909,9.941369749,8.137858197,11.15154799,9.32376232
10.03068179,8.184765701,9.808146547,11.15188237,10.01851719,9.678153777,9.872457093
9.794623671,8.349420727,10.35075455,10.93569064,11.19139315,10.26382109,10.91041975
9.109677453,9.140197325,8.769149741,9.280899575,9.295152086,9.022420221,9.367856449
13.13103447,8.103049037,9.932277112,11.48273743,12.9466706,11.88022385,12.40718728
10.36250007,8.429172182,9.895124811,10.53694476,11.27243944,10.15930995,10.70135453
9.61935484,9.323604171,9.083294845,9.135899589,9.163254598,9.909486977,9.871872816
13.95543479,7.958865983,9.48964888,11.06690938,12.19792902,11.2025064,11.99842318
8.711956501,8.952925011,8.82851431,8.847588293,8.936962857,8.636755898,8.158973488
11.78478257,7.905822342,9.304193479,10.17106412,10.12899062,9.892770431,10.33221624
8.586666679,8.989081023,8.882033387,9.104167967,9.197291585,8.683117485,8.159459419
13.31333334,8.244147237,9.766164183,10.58529118,12.8977891,11.86202581,12.42818027
11.49199997,8.163628611,9.430302906,9.999818671,11.15567965,10.14548708,10.82763285
