SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
10491003,-85.9699,34.2886,7.6991615,5.70526315,0.06898649,0.57705,7.7463613,0.005591928,2.410371,323.75,914593.597440125,-311241.189541701
50510003,-93.0002,34.4694,8.240357,7.589473662,0.06513889,0.49815,7.6868277,0.005170239,1.4512024,131.75,273361.428241842,-335020.549613069
50010011,-91.559,34.5185,8.602659,5.576666637,0.11193056,0.29823333,7.9487953,0.005413872,3.8797078,62.5,404356.437329348,-324395.031628526
11030011,-86.9675,34.5307,7.7949862,5.519999962,0.08243284,0.3912,8.698459,0.005674521,2.3357272,204,821347.811238472,-293418.227024208
51130002,-94.2262,34.5837,7.6863494,6.273333371,0.06525352,0.49818334,7.6569123,0.005297816,1.9830966,317.75,161419.172098449,-325046.809488263
450250001,-80.1988,34.6154,7.2440724,4.560714287,0.060872093,0.59611666,9.610201,0.005923595,2.0103104,104.5,1430819.24190076,-203781.850896373
51191008,-92.3287,34.6813,8.362218,10.04500008,0.07880263,0.37489998,7.2781105,0.005108674,1.9039303,102.5,333609.987610824,-309192.735719082
10890014,-86.5882,34.6855,7.5485625,5.033333368,0.067969695,0.40579998,8.247952,0.005702005,3.4322765,311.75,854016.158076193,-272843.559598754
450450016,-82.2567,34.7518,7.2856483,5.216666663,0.06378161,0.49118334,8.4907255,0.005340934,2.4633417,260.25,1243674.49318161,-217667.380670352
51190007,-92.2813,34.7562,8.362218,7.659523842,0.07880263,0.37489998,7.2781105,0.005108674,1.9039303,102.5,337587.284679872,-300653.912650026
450450015,-82.4146,34.8439,6.7981586,6.779069753,0.06295181,0.47213334,8.346371,0.005373115,2.0654364,293.5,1228015.88933812,-209524.573721426
401210415,-95.7844,34.8856,8.668781,4.664285694,0.07306757,0.3688833,6.884606,0.004533643,2.9407282,240.5,19544.5215632704,-292762.255527646
450830011,-81.9248,34.9556,7.2856483,6.356164361,0.060151897,0.4993,8.064949,0.005054276,1.3986613,255.75,1270127.48794077,-190722.580593714
