LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5,GWR_YH,GWR_BH0,GWR_BH1,GWR_BH2,GWR_BH3,GWR_BH4,GWR_BH5
-80.4828,25.4719,1570162.872,-1208508.393,6.886206939,6.817091044,-0.234358679,-0.493275014,-0.020629641,-0.011991988,-0.345251383,-0.12952271,-0.411845387,3.508770061,1.063383153,0.315425824,-2.437475079,0.226741075,0.494963346
-80.3264,25.9419,1577381.767,-1155058.301,6.333333333,6.201986047,-0.232993453,-0.472882884,-0.007372687,-0.001094801,-0.362558045,-0.115027968,-0.659234245,2.967872673,0.90956733,0.27333197,-2.327999904,0.337139746,0.43876737
-80.2569,26.0539,1582284.589,-1141774.396,5.900000002,5.777341637,-0.230763722,-0.464051437,-0.001924209,0.001016967,-0.362807104,-0.11382436,-0.729063181,2.845513328,0.873935511,0.263243459,-2.307959916,0.365551774,0.425897924
-98.1521,26.2886,-216690.2815,-1244900.307,7.857692242,7.702366486,-0.126287233,0.481131761,-0.418149557,-0.031169797,-0.148133476,0.609234068,-0.075301188,-1.568208643,-0.451009849,-0.867145755,-0.252728828,1.067279434,-0.278328087
-80.0928,26.4569,1591247.059,-1095367.749,6.153333386,6.072816422,-0.223751342,-0.415526841,0.017519537,0.007392992,-0.36862854,-0.100249588,-0.595656542,2.365057842,0.742153818,0.228573429,-2.201743207,0.455277932,0.378108668
-82.2304,27.9657,1355029.1,-964273.1811,7.322222197,7.348046648,-0.216214967,0.095386404,-0.043090863,0.15968059,-0.375384809,0.370915974,-0.607167785,0.160248401,0.237428004,0.160242689,-1.203190289,0.481690018,0.197681322
-81.3106,28.7461,1431565.135,-865494.9043,4.528571435,4.535393976,-0.404994684,0.096974714,0.183018643,0.08984406,-0.575420683,0.07630654,-0.890948093,0.096103185,0.18240387,0.10245815,-1.242967648,0.55012248,0.181112848
-98.6202,29.5151,-253992.7301,-887690.2131,6.41428566,6.192003006,0.240619084,0.426282085,-0.849584427,0.571341538,-0.206940381,0.888943733,-0.523392739,-0.276230566,0.009742006,-0.605707233,-0.959779041,1.107482323,-0.325726549
-90.7797,29.6793,504847.1662,-859117.7172,6.156666621,5.627694004,-0.047120117,0.859304901,0.18245534,0.043848366,-0.513122777,-0.460399942,-0.775279327,-0.740789321,-0.148633231,-0.198999082,0.446371533,-0.211624429,-0.125549399
-95.2576,29.7337,71784.62077,-866673.9551,9.910588312,9.421628021,1.374507139,0.781005274,-1.913611447,1.578519897,-0.782818074,3.090390493,0.215423304,-0.894040683,-0.478940503,-0.750934782,0.249151639,0.264981802,-0.443761602
-95.3877,29.8145,59147.35876,-857801.8974,10.64999989,10.12670936,1.345698463,0.776236921,-1.907361943,1.586011723,-0.752838973,3.063007345,0.870036211,-0.854450657,-0.472621296,-0.75556603,0.160878621,0.321627285,-0.443170958
-90.1098,29.9003,568035.5537,-830864.9666,6.51250007,5.993594081,-0.310257061,0.820141361,0.195103263,-0.10646594,-0.324918274,-0.904709181,-0.7093485,-0.603824404,-0.111996242,-0.158532998,0.084465313,-0.027423163,-0.09185797
-89.9762,29.9432,580601.0153,-825307.0835,5.449999928,5.308719838,-0.354065336,0.805874278,0.175798368,-0.122556688,-0.277753566,-0.965299238,-0.676464929,-0.588580274,-0.106819863,-0.152750809,0.03416762,-0.000490971,-0.087366891
-90.1182,29.996,566569.7192,-820316.7368,6.737931042,6.532132131,-0.322416936,0.785709943,0.161815171,-0.15301693,-0.358034015,-0.892943042,-0.572036303,-0.585250546,-0.114816826,-0.162717322,0.050461278,-0.009938493,-0.088388865
-90.2728,30.0412,551393.8961,-816219.3199,4.899999992,4.580843653,-0.283286529,0.766447502,0.146946029,-0.181233836,-0.442017278,-0.805607963,-0.645400245,-0.585385347,-0.124289606,-0.17418457,0.075726353,-0.023831562,-0.090189509
-81.634,30.1358,1377097.431,-718053.9665,4.860000086,4.961934779,-0.788814358,-0.010354074,0.275275718,0.316280178,-0.520497754,-0.183470991,-0.817654113,-0.554088869,0.073055573,-0.046752619,-0.065862231,-0.012696063,0.05453447
-91.0626,30.2191,474403.2351,-800765.2927,6.556666676,6.113272454,0.011493004,0.628347939,-0.035892274,-0.220922019,-0.818415378,-0.117973667,-0.701910296,-0.620060476,-0.189831899,-0.250968049,0.265692963,-0.118550326,-0.109105412
-92.0429,30.2261,380241.3098,-804396.9641,7.27999994,6.819259365,0.539101124,0.538993988,-0.425371099,0.11900496,-1.042933174,1.051701995,-0.674760116,-0.751260728,-0.304777019,-0.38755343,0.603472949,-0.256798024,-0.173448228
-93.58,30.2278,232577.2501,-809164.3959,5.070000005,4.392814819,1.2656419,0.555473513,-1.281340889,0.975012529,-1.061031066,2.742309759,-0.558166951,-0.85019621,-0.49953012,-0.641391943,0.590996549,-0.104645098,-0.325818579
-81.5478,30.3547,1381614.859,-692776.8153,5.819230767,5.911654035,-0.854818797,-0.03589601,0.312533313,0.36114882,-0.537232876,-0.279786877,-0.777699209,-0.611298934,0.056710113,-0.068165883,0.044311932,-0.064518608,0.036227992
-84.3464,30.4397,1114421.894,-720179.0252,5.753333322,6.400106098,-0.50344521,-0.41002522,-0.97909695,1.099561424,1.389148261,0.889907949,-0.74512614,-0.774556231,-0.045290563,-0.093520501,0.141043653,-0.052244711,-0.005843753
-91.1792,30.462,461841.8155,-774400.002,6.611627904,5.825303009,0.028490484,0.487892648,-0.141334265,-0.382904637,-0.96139424,0.047123593,-0.475241219,-0.568117207,-0.209079264,-0.27368501,0.168439394,-0.064454749,-0.103120523
-87.8803,30.4975,776933.3989,-748961.8803,5.600000051,5.524827711,-0.523567401,0.293727589,-0.640620505,0.492582557,1.042745022,-0.494003506,-0.92289277,-0.712633608,-0.102708842,-0.12621246,0.000476713,0.053228114,-0.024582031
-91.2136,30.5006,458333.1505,-770284.0109,6.640740692,6.863757142,0.029698413,0.466063688,-0.155026664,-0.419875902,-0.992085883,0.074084256,-0.472601534,-0.561845311,-0.213861872,-0.279178664,0.157706687,-0.057733399,-0.103073164
-90.3772,30.5033,538320.3729,-765598.6368,5.57586203,5.200270803,-0.321405415,0.531625692,-0.033054073,-0.473453232,-0.657988967,-0.662998283,-0.638771121,-0.502189201,-0.142643334,-0.198510998,-0.083627,0.061447442,-0.076944627
-88.0878,30.7702,754605.1906,-720438.0827,6.283333341,6.163305058,-0.581005443,0.220285711,-0.643455632,0.37936039,0.93485461,-0.56978812,-0.648427124,-0.674855356,-0.103084787,-0.13683127,-0.037101069,0.069437126,-0.027058753
-83.2933,30.8486,1208495.459,-662240.7558,6.180000011,5.855177248,-0.831467384,-0.544526134,-0.547775368,0.888003451,0.754852277,0.412752344,-0.785309966,-0.791057478,-0.048979304,-0.10662761,0.185188006,-0.083745413,-0.020269574
-81.495,31.1698,1372848.429,-602460.1653,6.482758606,6.736684402,-1.058827665,-0.173160704,0.293348849,0.619878866,-0.452884522,-0.500772784,-0.658705526,-0.795051544,-0.022701736,-0.131747275,0.305601504,-0.168523149,-0.026939172
-92.4107,31.1778,340922.84,-700104.6833,5.210000018,4.767492309,0.437327814,0.003743262,-0.624575161,-0.642337137,-1.428519533,1.413880589,-0.849560653,-0.501801283,-0.382682801,-0.471251654,-0.020227199,0.111844442,-0.160706875
-85.3908,31.2248,1005259.495,-645144.4251,6.81249997,6.825567281,-0.573554613,-0.658489994,-1.284899454,1.457226595,2.217301684,0.822535252,-0.711816584,-0.820526321,-0.120281338,-0.150768984,0.114886809,0.010016029,0.008431833
-110.937,31.3372,-1410487.964,-577731.3931,12.87142835,12.60954595,-0.262204167,-0.297906432,-3.386537693,2.521689561,0.363435855,3.457318528,0.664240652,-0.073309047,0.748756988,-0.995293926,0.035879149,1.481465578,1.011980383
-82.75,31.5131,1249565.282,-581978.6309,5.534482746,5.942194923,-1.084060293,-0.680388236,-0.346676851,0.889089461,0.467517431,-0.024902524,-0.928335537,-0.854791699,-0.096389919,-0.145073498,0.253525327,-0.106355477,-0.039449281
-84.0998,31.5776,1122077.266,-591703.7571,6.347619078,6.478194682,-0.86572824,-0.937894243,-0.979990997,1.277049734,1.647032931,0.57640261,-0.773254733,-0.84053149,-0.121890467,-0.151370787,0.181198252,-0.049404171,-0.015494039
-106.455,31.7657,-984097.3002,-586917.5059,7.503999996,7.138783254,-0.199056531,0.017347685,-0.594888742,0.264490035,0.115397024,1.202300453,-0.281905915,0.715833203,1.042238629,-1.857019112,-1.271238931,6.679802581,2.417478225
-106.501,31.7683,-988377.6109,-586152.3185,6.607142925,7.03064019,-0.201130936,0.016937456,-0.61552294,0.278685133,0.117469595,1.222996033,-0.280263868,0.937872752,1.188961355,-1.84641764,-1.370411393,6.973587645,2.494259725
-90.1827,32.3291,544487.7851,-561656.2557,7.000000004,7.070240506,-0.767391804,-0.452015621,-0.621131251,-1.875782815,-1.149430946,-0.504499044,-0.415466689,-0.307707718,-0.132795459,-0.215000517,-0.592574587,0.34922964,-0.100392709
-86.2634,32.4128,909346.9813,-522370.5057,5.833333316,6.985634945,-0.729959083,-0.788662566,-0.843527306,1.386489184,2.274115541,0.374743276,-0.657026827,-0.682078886,-0.11435297,-0.208616712,-0.000717777,0.068365299,0.013166617
-84.9316,32.4297,1032982.222,-506887.2329,5.407142831,4.985790895,-0.845547027,-1.098329104,-0.954992083,1.465159108,2.177367897,0.494617081,-0.680386843,-0.74746679,-0.132119062,-0.203067871,0.073220684,0.020956729,0.00769165
-84.9997,32.437,1026561.135,-506816.6803,6.029629628,6.644092673,-0.834864159,-1.083672241,-0.958136054,1.477818922,2.212698347,0.506158499,-0.641911791,-0.742959583,-0.13101493,-0.203896869,0.068060569,0.024348518,0.008548076
-93.7952,32.4718,206106.2413,-560025.1009,8.349999956,7.95054796,0.14877809,-0.257600538,-0.384339244,-0.837309934,-1.058989829,1.485692562,-0.1787365,-0.313424808,-0.485518919,-0.616890058,-0.917150399,0.778388383,-0.307883935
-84.9789,32.4842,1027884.515,-501364.0412,6.621428532,6.056032777,-0.842137983,-1.094882413,-0.930690418,1.464466804,2.187017161,0.480991575,-0.679991251,-0.736483547,-0.129895002,-0.206127703,0.064587131,0.024833192,0.008790601
