Y,MLR_YHat,ANN_YHat,GWR_YHat,GWANN_YHat,GNNWR_YHat,AGWNN_YHat
5.962068961,8.032862775,4.918751829,5.503579035,5.757267691,5.797915244,5.539355406
5.180769196,9.88188011,4.735074464,5.014150479,5.31484252,4.923759141,5.018932427
4.799999988,9.039936126,5.393676683,5.219328514,5.508502013,5.226534961,5.175741872
6.814814802,10.12091942,5.319940788,6.817341796,6.049565436,6.690767053,6.878134352
5.386206874,7.004241752,3.926716508,5.594027512,5.734799563,5.285834262,5.521505387
7.09666667,9.213891215,6.475125799,6.672056685,6.6355831,6.816194865,6.763608681
6.012500077,9.657132462,7.26437261,6.375021896,6.331812987,6.231597433,6.389791716
6.624999881,9.36744849,8.465615709,6.775209792,6.661556856,6.749254133,6.649060112
8.141379241,8.131268653,7.747814681,8.045123272,7.877709339,8.219789175,8.14178441
9.753409047,10.21882599,7.417120171,9.195470686,9.061911092,9.420472935,9.807230509
10.09999992,10.39548532,7.760148684,10.39272228,10.16963809,10.35749347,10.69849101
8.379999955,8.876441178,8.041497528,8.244300947,8.199222687,8.693928238,9.007284913
8.119999886,7.871883256,7.515010168,7.629580273,7.635660922,7.793295587,7.528454267
7.693333308,8.776632273,7.775875295,7.914948484,7.96269778,8.29133826,8.423447561
7.039999914,9.203863165,6.918347889,7.811862791,7.818541339,7.757596437,7.975188572
6.750000032,6.355452939,6.261709552,6.691028337,6.52918467,7.064680167,6.905952673
9.117241432,8.938174387,8.577348179,8.42925289,8.353391472,8.821169527,9.084539329
7.960000014,8.315830749,8.21799037,7.854157463,7.820720761,8.229211266,8.01624559
6.660000046,7.833523676,7.913301236,7.541496924,7.566050774,7.250918045,6.969563971
6.816666698,7.491195881,6.299900226,6.928558853,6.717161915,6.800895079,6.847977045
7.500000032,9.287537621,8.457611485,7.64853033,7.338077066,7.611869866,7.56784231
9.701204834,9.536902025,8.703257004,9.222954349,9.047459433,8.749105379,9.774752757
7.746428524,7.55257701,7.429192568,7.812110062,7.645543113,8.319529591,7.67948342
9.321428532,9.536902025,8.703257004,9.221195221,9.060549435,8.739176566,9.743483377
8.252000036,8.722447899,8.478086086,8.606660099,8.495194635,8.813992819,8.841842031
8.528571486,9.281574692,8.784719225,8.536672149,8.325356891,8.461383101,8.549553646
7.876666657,8.782835337,8.386068311,7.597858442,7.317741894,7.340826342,7.559977992
7.688888919,7.297272744,7.722346086,7.48502528,7.275206625,7.442442602,7.123615871
7.886666576,8.871076822,9.130116726,8.995529061,8.872584641,8.781257886,8.603246617
8.393103484,9.016215121,8.511754054,9.255843488,8.919972924,8.829567615,8.752361552
8.619999949,8.120316513,9.027109674,8.641232893,8.585908008,8.619998711,8.601130198
7.836666687,9.20516825,8.690402298,8.172379533,7.959773003,6.945208729,7.331468398
8.452173918,8.960106127,8.763027602,8.58096764,8.297087832,8.321331925,8.049601898
7.351724123,10.63796044,10.35951528,7.070952967,6.907681271,7.336422327,6.915915285
6.74666667,10.63796044,10.35951528,7.072461165,6.803706232,7.336569296,6.916938771
8.00555555,8.995306925,9.616265506,8.7477575,8.564255198,8.233419613,7.903523069
10.16428568,9.486720045,9.283794033,9.753126259,9.430291958,9.580800569,10.07490357
9.023333327,9.307421217,9.211285181,9.388190178,9.136409814,9.280383178,8.833016886
9.969999997,8.875258903,8.962690135,9.320753772,9.052367067,9.529157092,9.376655198
