UTM-X,UTM-Y,X1,X2,X3,X4,Y,LL-X,LL-Y
587932.0625,4508238.5,2,1,1,4.97,227.9347826,-73.95885,40.72038
588846.625,4494392,3,1,1,5,50,-73.94998,40.59556
588673.375,4517711,4,1,1,4.89,180,-73.94873,40.80562
599931.5,4507477,2,1,1,4.77,75,-73.81692,40.71215
585414,4504349,5,1,2,4.88,333,-73.98919,40.68561
589289.4375,4521046,2,1,1,4.9,57.27173913,-73.94095,40.83559
587220.5625,4504375.5,2,1,1,4.85,150,-73.96781,40.68566
586123.5625,4509111,2,2,1,4.75,350,-73.98014,40.72843
584432.1875,4511005.5,4,1,1,5,125,-73.99991,40.74567
593459.6875,4511532.5,2,1,1,4.16,99,-73.89292,40.74944
586350.5,4514495,2,1,1,4.78,305.1630435,-73.97671,40.7769
587553.625,4504659,2,1,1,4.51,118.4565217,-73.96383,40.68818
585738.625,4507922,3,1,2,4.87,238.0434783,-73.98486,40.71776
584756.6875,4511281.5,4,1,1,4.45,139,-73.99603,40.74812
584353.9375,4509424,4,1,2,4.5,315,-74.00105,40.73143
589777.8125,4502430,7,1,3,4.9,250,-73.93783,40.66786
588927.375,4507227,5,1,2,4.85,326.0869565,-73.94721,40.71116
591129.5,4511242.5,1,1,1,5,125,-73.92056,40.74709
588839.125,4504295,2,1,1,4.71,55,-73.94867,40.68476
587170.6875,4506966,3,1,1,4.88,192.0326087,-73.96804,40.709
581673.9375,4496147,3,1,1,4.67,105,-74.03451,40.61211
587752.5625,4507631.5,2,1,1,4.98,120,-73.96106,40.71493
588060.875,4506563.5,1,0,1,0,190,-73.95756,40.70528
590583.4375,4504926.5,2,2,1,4.93,129.0326087,-73.92794,40.69026
588032.375,4504267.5,3,1,1,4.8,200,-73.95822,40.6846
585556,4509327.5,3,0,1,4.14,160,-73.98683,40.73044
584988.5625,4505856,16,6,5,4.95,950,-73.99402,40.69923
587162.125,4503307,2,1,1,5,125,-73.96865,40.67604
586127.4375,4504408.5,6,2,3,4.88,347.5,-73.98074,40.68607
585778.125,4502161.5,2,1,1,5,164.673913,-73.98518,40.66587
585448.3125,4501808,1,1,1,4.75,50.05434783,-73.98913,40.66272
586187.3125,4514954,1,1,2,4.77,125,-73.97858,40.78105
585953.625,4508832.5,2,1,1,4.8,90,-73.98219,40.72594
585960.5,4501527.5,1,2,1,4.8,51.76086957,-73.98311,40.66014
586269,4508586.5,2,1,2,4.88,274.4673913,-73.97849,40.72369
587784.5,4512638,2,1,1,4.67,97.82608696,-73.95998,40.76002
588678.1875,4504468.5,1,2,1,4.7,75,-73.95055,40.68634
586721.3125,4516697.5,4,1,1,5,165,-73.97201,40.7967
587603.625,4503786,3,1,1,4.66,175,-73.96336,40.68031
586168.25,4508537.5,2,1,1,5,120,-73.97969,40.72326
584103,4508390.5,2,2,1,4.79,169.8913043,-74.00416,40.72215
584001.75,4509501,4,2,2,5,300,-74.00521,40.73216
584937.6875,4512729,2,1,0,4.89,149,-73.99369,40.76114
589775.5625,4507228,2,1,1,5,90,-73.93717,40.71108
588546.5,4517459.5,4,1,2,4.65,155,-73.95027,40.80337
589681.9375,4507709,4,2,2,0,180,-73.93821,40.71542
585577.625,4514182,3,1,1,4.95,1000,-73.98591,40.77416
587918.0625,4503213.5,2,1,1,5,115,-73.95972,40.67512
590091.75,4516516,3,1,1,4.71,89,-73.93209,40.7947
588424.8125,4519589,10,2,3,4.5,510,-73.95141,40.82256
587210.5625,4507528.5,2,1,1,4.86,100,-73.96749,40.71406
585011.9375,4508679.5,2,1,1,4.78,285,-73.99336,40.72466
585734.0625,4509270,2,1,1,4.44,150,-73.98473,40.7299
585795.3125,4509451.5,2,1,1,4.6,131.1956522,-73.98398,40.73153
588371.9375,4503288,2,1,1,0,60,-73.95434,40.67574
584829.375,4512820,2,1,0,4.93,118.3695652,-73.99496,40.76197
