LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5
-80.4828,25.4719,1570162.87238458,-1208508.39342854,6.465517204,6.32387685475302,-0.247232373528082,0.418319856914224,0.0343357123271415,-0.320812972309802,0.289700665131878,-0.0574567595177128
-80.3264,25.9419,1577381.76746218,-1155058.30133549,6.446666654,6.27513774054369,-0.334808029641554,0.352091777194592,0.0194701877899192,-0.29923301587393,0.299292206573082,-0.0196621612115025
-80.2569,26.0539,1582284.5894323,-1141774.39616424,6.003225796,6.08403496086462,-0.353481036937893,0.318005837417098,0.0106799045438843,-0.294256278907014,0.295771063902531,-0.00152089617598927
-98.1521,26.2886,-216690.281502313,-1244900.30662057,13.50714288,13.3403074365003,-0.00178139941016275,-1.23279180317399,13.1197710279872,2.24668555695224,-1.356315956073,-2.6410318885681
-80.0964,26.2911,1593925.78629494,-1113397.11475518,6.462962981,6.50726104692414,-0.387640375768657,0.265714191394778,-0.00833710958787154,-0.273111870156723,0.289536666436068,0.0329884098586114
-80.1764,26.2942,1585925.81557933,-1114399.61882755,5.64545458,5.72587435223101,-0.39904177524196,0.276541644089595,-0.00236490564025431,-0.266712887273908,0.294740068123264,0.0245520938388147
-80.0928,26.4569,1591247.05867364,-1095367.7486143,5.837037051,5.86086947393723,-0.422908616719769,0.252771805160138,-0.0161277605671162,-0.242223300420202,0.29175490917146,0.0480776551595591
-82.2304,27.9657,1355029.09954868,-964273.181091206,7.103448292,7.31995128164961,-1.05925601955306,0.833282973011188,0.236726264374372,0.881630892893243,0.346127227719023,-0.114899953441692
-82.7822,27.9863,1300770.59502768,-969731.768477549,6.555555609,6.74820978129751,-1.06691302930107,0.956930721390577,0.350495487036595,1.02843311333326,0.326073976689452,-0.20073932320411
-80.6286,28.0536,1509790.20042058,-930535.967313865,5.396551724,5.46040095470306,-0.862896157845731,0.352644608007847,-0.0921192959615081,0.455393428556418,0.284192376877371,0.153163181461705
-81.3106,28.7461,1431565.13525057,-865494.904341357,5.671428476,5.68789188312036,-1.07697691526242,0.680663833731102,-0.0709884178910873,1.10284101570863,0.247199836961498,0.154363878231642
-94.8613,29.2545,110738.824832626,-919406.519818015,8.433333238,8.33569218968299,0.479583614366273,1.95491322798703,1.55843609048901,1.15208770913502,-1.04811978533168,-1.11301891331713
-98.6202,29.5151,-253992.730104759,-887690.21308649,9.900000095,10.0282371083421,-0.689872454715661,1.63092553566914,4.89183802289444,0.530607166379461,-2.71952152843571,-3.28178234380671
-90.7797,29.6793,504847.166190232,-859117.717238122,6.890322554,7.07164158344888,-0.0915826425589621,-0.210727388354789,-0.278901340234157,-0.465903359447609,0.681179961247575,-0.0704516729577123
-82.3878,29.7061,1312153.86567916,-775880.206882229,7.071428571,7.26099656336123,-1.18663142133067,1.17225060792955,0.0556431573308501,2.07294805781615,0.0478958840727826,0.165148804462914
-95.2576,29.7337,71784.6207669702,-866673.955119888,10.9321839,11.022945943653,0.544285852193891,2.33135007330336,1.45332594263752,1.05248544191692,-1.08547086404927,-1.2525765642055
-95.3877,29.8145,59147.358758926,-857801.897439955,11.02903231,11.2271639348955,0.533721086721302,2.39520532242507,1.49817589902762,1.01910354681975,-1.12963048203346,-1.3354022449497
-90.1098,29.9003,568035.553718558,-830864.966553494,7.236666679,7.56419539621725,-0.240413715227231,-0.350131787878469,-0.13658283552943,-0.541475224389568,0.640724164725178,-0.231601026376852
-89.9762,29.9432,580601.015346452,-825307.083535848,7.553333298,7.65285382604752,-0.26284925810729,-0.351253180487233,-0.105622701281096,-0.529886052504325,0.622960257573419,-0.255189882630523
-90.1182,29.996,566569.719175462,-820316.736829374,7.603225839,7.76815341940561,-0.234226022603189,-0.332630414759767,-0.127806858615164,-0.542822300449991,0.648595221752464,-0.216518131575833
-90.2728,30.0412,551393.896051602,-816219.319866888,6.966666651,7.28723866163824,-0.203877976044492,-0.312492474401541,-0.147046381898543,-0.557975423852363,0.6751958816483,-0.17312122777942
-81.634,30.1358,1377097.43094146,-718053.966518403,6.696774237,6.69689334938867,-1.12971026273907,0.889055729508013,-0.254523832168728,1.9784910953691,-0.020997922839637,0.117075044007643
-91.0626,30.2191,474403.235076984,-800765.292705413,7.800000006,7.5634132873895,0.00666071454778105,-0.0454486990213467,-0.241197515255145,-0.480300513727842,0.769934569443624,0.114210036584714
-92.0429,30.2261,380241.309828715,-804396.964079699,7.622580644,7.75320684806339,0.314201527818212,0.531637013766592,-0.31681398953616,-0.152227118639945,0.70857535115042,0.391390212318715
-93.58,30.2278,232577.250063911,-809164.395916499,6.989655117,7.33399102502537,0.717311268772902,1.67714193600015,-0.0912092619269773,0.507205562171216,0.201251593224221,0.22771006222393
-81.5478,30.3547,1381614.85892894,-692776.815325366,6.923333327,7.13666450337884,-1.11072407441124,0.82962103275967,-0.323503766380695,2.0070745204193,-0.0686527876764868,0.058430541293028
-84.3464,30.4397,1114421.89378944,-720179.025201617,9.161290292,8.80972222182627,-0.926377294437659,1.44840446102565,0.540021984669039,2.47587217386992,-0.390446945177429,0.0868628585097925
-91.1792,30.462,461841.815530184,-774400.002030731,8.233695613,8.58724457772299,0.0503141604170377,0.0246668465990551,-0.20721977826112,-0.494657192045991,0.801834078351074,0.198214756849006
-87.8803,30.4975,776933.398931606,-748961.880312994,6.853846156,6.97361708304194,-0.468485967333742,0.317002867176426,0.372709919806973,0.41697845219251,-0.0627922493695897,-0.437985680159821
-91.2136,30.5006,458333.150486338,-770284.010920758,8.632258072,8.58110585613817,0.0684451765289825,0.0574086753938384,-0.209151669165373,-0.478745142230237,0.806128079424773,0.222422573921095
-90.3772,30.5033,538320.372938337,-765598.636762198,6.962068919,7.54846182924218,-0.158845311110657,-0.226517077665844,-0.101434916538184,-0.582879177478512,0.70693815118801,-0.083896640150078
-87.2036,30.5254,841219.060227736,-740113.376773567,6.512903221,6.73665134484266,-0.512580641349229,0.65670305792759,0.505059014741595,0.919032652321207,-0.276797661442439,-0.357322169483685
-88.0878,30.7702,754605.190580307,-720438.082722136,7.699999982,7.76543342511646,-0.432897814144308,0.273248356949159,0.337516709366074,0.299772152845728,-0.0469401568325289,-0.441383466874682
-83.2933,30.8486,1208495.45907447,-662240.755776683,7.832000036,8.84051840668613,-1.02775523358844,1.22594756921744,0.174300499923409,2.54621589743653,-0.357961943411346,0.121610170091964
-81.495,31.1698,1372848.42892274,-602460.165320707,7.970370346,8.02106737041486,-1.03721083277114,0.607786550320484,-0.493455314627161,2.06074521011899,-0.218811936466899,-0.230795978084934
-92.4107,31.1778,340922.839995252,-700104.683275123,7.776666641,8.1513045964703,0.48872360847328,0.779429933605953,-0.0572584303532255,-0.277883735682768,0.836989493281189,0.700731986206816
-85.3908,31.2248,1005259.49459669,-645144.425109993,8.446666678,9.13025370263571,-0.634793807833655,1.24990300880714,0.598590479673983,2.10810241652036,-0.710738536467342,0.00238335385132915
-110.937,31.3372,-1410487.96408752,-577731.393053975,5.086666667,4.96212037612549,2.10366592101859,0.182487198087949,1.84320852022487,3.8517722658771,2.94373897519981,-0.896013049244262
-82.75,31.5131,1249565.28206942,-581978.630916475,7.319354865,7.31666212743081,-0.98370676373093,0.809965007750526,-0.133716817870556,2.3467494119043,-0.405534736902303,-0.0894332711441431
-84.0998,31.5776,1122077.26620518,-591703.757134256,11.40731705,11.0306908019819,-0.796471732864416,1.08084956360846,0.325128797183642,2.39148428496104,-0.654470890879386,0.0537162688305423
-106.455,31.7657,-984097.300230959,-586917.505895832,7.986206869,7.05854732499794,0.486469198726969,0.233643153157851,0.374882250386717,0.737957411700132,0.520767936182658,0.0475705818652149
-106.501,31.7683,-988377.610891536,-586152.318471164,6.092857054,7.19006799027829,0.499399199425545,0.234898854506228,0.386245878780636,0.75497602170995,0.540669948140372,0.0507901753278014
-81.1618,32.1107,1387839.72185468,-494102.25977321,7.906741582,7.68874461718173,-0.9018339813515,0.181212230344745,-0.716710859109723,1.69537000706595,-0.234758953273006,-0.708724913207716
-90.1827,32.3291,544487.785112727,-561656.25565349,7.50689652,7.45303001051616,-0.124171505081515,-0.120464370311214,0.0671621656889028,-0.560223805405741,0.527781532157386,-0.082063583017507
-86.2634,32.4128,909346.981279541,-522370.50571888,8.057142794,8.86408937056466,-0.297437218292609,0.928910362302236,0.432450240938508,1.37617006312922,-0.780092659029459,-0.0768296895520435
-84.9316,32.4297,1032982.22197295,-506887.232851661,9.519354836,9.55981233346391,-0.48921912454464,0.836264887456363,0.364846053902146,1.83473057073658,-0.815601893552114,0.000536042174989163
-84.9997,32.437,1026561.13492252,-506816.680290574,9.916666762,9.59547046738039,-0.475983579198112,0.845999356919934,0.376499504934994,1.8188692508627,-0.821618272830392,-0.000594860694392504
-93.7952,32.4718,206106.241326991,-560025.100940829,9.653124996,9.67663092586869,0.852584208883576,1.20971886309246,0.45604937044694,-0.532330631750045,0.555848179096517,0.65058777747079
-84.9789,32.4842,1027884.51464366,-501364.041196631,9.783870912,10.0461960493099,-0.470140218509005,0.820984717234193,0.35980167684338,1.79054733214345,-0.815253024451692,0.0010115821341339
-92.0462,32.51,369353.339798209,-550471.847664204,6.512903229,7.22600043603936,0.268319772505819,0.178815267801388,0.25693226993512,-0.752628794192523,0.66367191125374,0.558657498973417
-84.9446,32.5213,1030588.88742942,-496883.267520642,9.851724148,9.38742564523246,-0.468434757172761,0.802231710068694,0.354697071251468,1.78493214131546,-0.811872616583986,-0.00519411244340873
