LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5,GWR_YH,GWR_BH0,GWR_BH1,GWR_BH2,GWR_BH3,GWR_BH4,GWR_BH5
-80.4828,25.4719,1570162.872,-1208508.393,5.962068961,6.019972109,-0.1013671,0.513599875,0.176967681,-0.248765165,-0.341457444,0.1825534,-0.824899319,0.557842325,0.195737498,0.196068618,0.721816238,-1.023523268,0.163986729
-80.3264,25.9419,1577381.767,-1155058.301,5.180769196,5.269147627,-0.097877939,0.60620675,0.204063501,-0.303661736,-0.447784403,0.174627498,-1.021445829,0.83042005,0.167813109,0.16002753,0.129288857,-0.662096388,0.146602137
-80.2569,26.0539,1582284.589,-1141774.396,4.799999988,4.828169062,-0.095698985,0.61870785,0.204940519,-0.313890362,-0.469574996,0.167612791,-0.938996666,0.880752888,0.162056723,0.15271581,0.022848785,-0.597141008,0.143241513
-98.1521,26.2886,-216690.2815,-1244900.307,6.814814802,6.788445097,-0.144191476,-0.082928317,0.17945258,-0.107643222,-0.188933712,0.353078712,-0.29720766,4.027166984,0.929112747,0.254799248,-2.837016454,-0.550664482,-0.282887862
-80.0928,26.4569,1591247.059,-1095367.749,5.386206874,5.394761498,-0.079397971,0.654692975,0.203572357,-0.349199966,-0.556066354,0.128835166,-0.788525563,1.030483848,0.142586734,0.129733245,-0.275206154,-0.415467465,0.133175649
-82.2304,27.9657,1355029.1,-964273.1811,7.09666667,7.039539872,0.189344313,0.812070175,0.202869487,-0.533906952,-1.094005585,-0.013072585,-0.355801593,1.240618102,0.084518804,0.086716564,-0.246007625,-0.444749863,0.100235444
-81.3106,28.7461,1431565.135,-865494.9043,6.012500077,6.035925329,0.268281268,0.474693678,-0.090114517,-0.553216571,-1.241598851,-0.310244361,-0.474934851,1.12232102,0.044551722,0.037560952,-0.047706505,-0.515693732,0.068194798
-98.6202,29.5151,-253992.7301,-887690.2131,6.624999881,6.505009788,-0.270905529,0.013081106,-0.205870933,-0.154085413,-0.182887688,0.438433578,-0.313722529,2.79730124,0.575427,-0.139662443,-2.257478051,-0.078929252,-0.292263257
-90.7797,29.6793,504847.1662,-859117.7172,8.141379241,8.219889376,-0.490848325,0.694961807,0.398383696,-0.838017144,0.773039626,-0.178312787,0.195698605,1.261529562,0.261388565,-0.009323683,-1.940775037,0.729792368,-0.182351166
-95.2576,29.7337,71784.62077,-866673.9551,9.753409047,9.668325595,-0.648404606,1.041052427,-0.351552179,-0.392437531,0.57141814,0.409060197,0.657652045,1.898043631,0.267334703,-0.292201604,-1.64144163,0.284283497,-0.143133684
-95.3877,29.8145,59147.35876,-857801.8974,10.09999992,9.99430666,-0.643484988,0.987727618,-0.388791824,-0.391294339,0.56055951,0.432835513,1.138755719,1.886454688,0.265624433,-0.291692142,-1.636227114,0.285966736,-0.152916786
-90.1098,29.9003,568035.5537,-830864.9666,8.379999955,8.385292435,-0.400187156,0.190282848,0.211219792,-0.928321972,0.781436151,-0.281278013,0.275799235,1.162459647,0.229505766,0.025943494,-1.437698597,0.441654218,-0.164027996
-89.9762,29.9432,580601.0153,-825307.0835,8.119999886,8.149282441,-0.376181704,0.084496852,0.161879501,-0.936486305,0.787769707,-0.304392585,0.028732479,1.135586543,0.221346716,0.03153939,-1.310068583,0.369641922,-0.161502988
-90.1182,29.996,566569.7192,-820316.7368,7.693333308,7.886833944,-0.400636136,0.154387754,0.197008421,-0.958692417,0.834674607,-0.279090848,0.143579952,1.156758251,0.229760169,0.02736071,-1.402929213,0.419745319,-0.160684809
-90.2728,30.0412,551393.8961,-816219.3199,7.039999914,7.041226299,-0.422064474,0.232747305,0.23243412,-0.974242604,0.893599235,-0.254703228,0.102892546,1.181836147,0.237774166,0.021691289,-1.502766243,0.473507472,-0.160210541
-81.634,30.1358,1377097.431,-718053.9665,6.750000032,6.730032771,0.263550814,-0.129139797,-0.311532649,-0.407007437,-0.738633056,-0.111023022,-0.348121942,0.976654804,0.039850014,-0.155604099,0.536721,-0.836215954,0.015710202
-91.0626,30.2191,474403.2351,-800765.2927,9.117241432,8.899950598,-0.511678768,0.640017484,0.379632939,-1.007128072,1.232488417,-0.122755153,0.350142974,1.30482367,0.257026772,-0.021346957,-1.824586896,0.637590943,-0.16093977
-92.0429,30.2261,380241.3098,-804396.9641,7.960000014,8.020945433,-0.584091269,1.116167761,0.42397143,-0.901964895,1.490714337,0.002218439,0.11937949,1.408881004,0.246172223,-0.100784971,-1.699057441,0.528169216,-0.169578299
-93.58,30.2278,232577.2501,-809164.3959,6.660000046,6.728138333,-0.644971972,1.345045851,0.090061939,-0.67694074,1.467785254,0.189178682,-0.006165862,1.580146943,0.208762627,-0.24785491,-1.211653569,0.173568211,-0.171731009
-81.5478,30.3547,1381614.859,-692776.8153,6.816666698,6.886864522,0.224247059,-0.155082349,-0.271231491,-0.37569184,-0.660967703,-0.053440795,-0.25246778,0.95007176,0.036922929,-0.174136483,0.606943316,-0.87152412,0.008171481
-84.3464,30.4397,1114421.894,-720179.0252,7.500000032,7.656058263,0.038802064,-0.497778637,-0.413939025,-0.14924741,1.007480341,0.83347481,0.036752254,1.323278637,0.176387265,-0.256688027,0.133646899,-0.694251182,0.00981362
-91.1792,30.462,461841.8155,-774400.002,9.701204834,10.00240318,-0.501535578,0.548163625,0.350480943,-1.090878431,1.487142082,-0.086211987,0.668798454,1.322975506,0.253523442,-0.026032596,-1.757243623,0.587647881,-0.147699851
-87.8803,30.4975,776933.3989,-748961.8803,7.746428524,7.847240569,-0.020106968,-0.950337904,-0.585634339,-0.667979988,0.932095768,-0.36909342,0.102353049,0.843915016,0.179067602,0.012449187,-0.003292254,-0.38502961,-0.115511256
