Y,ANN_YHat,GWRFG_YHat,GWRFB_YHat,GWRAG_YHat,GWRAB_YHat,MGWR_YHat,AGWNN_YHat
6.886206939,6.423408711,6.892116415,5.875020107,6.257033307,6.533889966,5.363997971,6.817091044
6.333333333,6.635084904,6.172110082,8.12597238,6.36900397,6.131727571,7.35907139,6.201986047
5.900000002,6.304061889,5.968878307,6.517079628,6.16546954,6.195517276,5.995442703,5.777341637
7.857692242,5.944101344,7.871602542,7.119033543,6.509094104,6.833766692,7.827563225,7.702366486
6.153333386,6.674231608,6.357148118,5.890227027,6.407902174,6.440585995,5.067776285,6.072816422
7.322222197,6.389710194,6.323645527,4.979293072,5.884105984,6.008319101,6.116474635,7.348046648
4.528571435,7.452659507,5.497724663,5.859486854,5.830692977,5.802707878,5.34767551,4.535393976
6.41428566,6.851850425,6.567466385,7.64110701,6.936802596,7.132870333,6.40469078,6.192003006
6.156666621,5.364180706,5.834369754,5.910640115,5.44018887,5.63156989,5.093816034,5.627694004
9.910588312,8.061788362,8.717733921,7.617529548,7.836276812,7.896589585,9.542766296,9.421628021
10.64999989,10.89578857,10.62293467,8.647435082,9.1060385,9.091289611,10.54425426,10.12670936
6.51250007,6.887372834,6.026256378,6.249924995,5.992111722,6.00422268,5.578576788,5.993594081
5.449999928,7.352906508,6.121961494,6.940779445,6.347733901,6.187673635,5.934425293,5.308719838
6.737931042,7.880506391,6.425893017,7.34482489,6.870700306,6.595610007,6.410246951,6.532132131
4.899999992,6.732202248,6.21237288,6.874623013,6.480926865,6.398936612,5.972599863,4.580843653
4.860000086,5.389481644,5.711041184,6.285746918,5.921867929,5.888714055,5.331929062,4.961934779
6.556666676,7.233114164,6.047904701,6.258273054,6.201288026,6.146509177,5.92684272,6.113272454
7.27999994,5.492330188,6.126923221,6.254001228,6.062689409,6.063642349,5.921690686,6.819259365
5.070000005,5.206137027,6.466258704,6.251470231,6.174673217,6.214035225,5.783191173,4.392814819
5.819230767,5.03254249,5.827326871,5.626009433,5.858256643,5.894452641,4.750868506,5.911654035
5.753333322,6.939195837,5.922128295,6.021159936,5.900705949,5.925139828,6.022733244,6.400106098
6.611627904,8.917930054,6.707607698,7.537849139,7.097927513,7.009491524,6.953255279,5.825303009
5.600000051,4.959847698,5.404752127,4.697705438,5.264805631,5.299328769,4.666502016,5.524827711
