LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5
-80.4828,25.4719,1570162.87238458,-1208508.39342854,6.886206939,6.81709104433083,-0.234358678654134,-0.493275014395573,-0.0206296414604996,-0.0119919875944334,-0.345251383285888,-0.129522709829918
-80.3264,25.9419,1577381.76746218,-1155058.30133549,6.333333333,6.20198604734699,-0.232993453077854,-0.472882883857642,-0.00737268725297466,-0.00109480082347148,-0.362558045423592,-0.115027968411279
-80.2569,26.0539,1582284.5894323,-1141774.39616424,5.900000002,5.77734163680627,-0.230763721608456,-0.464051437491285,-0.00192420913790345,0.00101696704177369,-0.362807103628713,-0.113824360379145
-98.1521,26.2886,-216690.281502313,-1244900.30662057,7.857692242,7.70236648641236,-0.126287233401906,0.481131761338006,-0.418149557352504,-0.0311697971084395,-0.148133476235359,0.609234068167125
-80.0928,26.4569,1591247.05867364,-1095367.7486143,6.153333386,6.0728164219098,-0.223751342323908,-0.415526840761952,0.0175195371113979,0.00739299173431184,-0.368628539958153,-0.100249587922738
-82.2304,27.9657,1355029.09954868,-964273.181091206,7.322222197,7.34804664765599,-0.216214966878988,0.0953864041389759,-0.0430908625468652,0.159680589806636,-0.37538480928143,0.37091597384061
-81.3106,28.7461,1431565.13525057,-865494.904341357,4.528571435,4.53539397640834,-0.404994684283715,0.0969747139675558,0.183018642556712,0.0898440602493724,-0.575420683094611,0.0763065399527882
-98.6202,29.5151,-253992.730104759,-887690.21308649,6.41428566,6.19200300585081,0.240619084375148,0.426282085172117,-0.849584427494406,0.571341537571753,-0.206940380839654,0.888943732620781
-90.7797,29.6793,504847.166190232,-859117.717238122,6.156666621,5.62769400442602,-0.0471201168770505,0.85930490093001,0.182455339862375,0.0438483661986535,-0.513122776819702,-0.460399941582458
-95.2576,29.7337,71784.6207669702,-866673.955119888,9.910588312,9.42162802090046,1.37450713929101,0.781005273518505,-1.91361144698695,1.5785198966216,-0.78281807376805,3.09039049340663
-95.3877,29.8145,59147.358758926,-857801.897439955,10.64999989,10.1267093554046,1.34569846288634,0.776236920987595,-1.90736194264617,1.58601172261519,-0.752838972873468,3.06300734526358
-90.1098,29.9003,568035.553718558,-830864.966553494,6.51250007,5.99359408148559,-0.310257061324703,0.820141361119358,0.195103263179089,-0.106465940188999,-0.324918273920835,-0.904709181430485
-89.9762,29.9432,580601.015346452,-825307.083535848,5.449999928,5.30871983826364,-0.354065336260459,0.805874278154974,0.175798368173098,-0.122556687517027,-0.277753565540981,-0.965299238407823
-90.1182,29.996,566569.719175462,-820316.736829374,6.737931042,6.53213213065593,-0.322416936018105,0.785709943283157,0.161815170694456,-0.153016929729253,-0.358034014749812,-0.892943041728857
-90.2728,30.0412,551393.896051602,-816219.319866888,4.899999992,4.58084365275131,-0.283286528682247,0.76644750242205,0.146946029039798,-0.181233836186709,-0.44201727770632,-0.805607963397839
