ANN_Q1,ANN_Q2,ANN_Q3,ANN_Q4,AGWNN_Q1,AGWNN_Q2,AGWNN_Q3,AGWNN_Q4
684.493914612559,759.920787011455,1199.36578049124,2041.69920139307,495.085380556648,687.789192561901,1562.8675946903,2099.4511765661
611.215808161348,558.955573308441,1098.19733100946,2072.5393971788,376.051304822974,451.556193154181,998.095375998091,1524.63737791669
591.257403573773,566.259292419056,1228.66791483511,2032.48121954998,329.715046449423,400.776305884,744.19561349594,1239.38591655665
602.928423184699,548.349352082151,1249.55204111871,2330.25931278541,301.023836773899,353.02585255016,666.805438869677,1092.23148647959
596.752092785118,550.893099617455,1189.15467386597,1913.09729557705,290.221270033044,323.178625241545,597.393915849834,1045.62323982502
645.73440619708,555.320877032732,1173.27862751435,1912.16366855249,274.384983013314,310.332476255163,539.97711027473,995.373563357533
587.438606328297,572.239426429505,1161.97977708828,1891.71524043506,264.039592860372,295.448749562009,516.562756897584,951.559185168587
589.527338369886,536.159342814611,1125.36731815616,1912.3110791628,259.704426167819,285.030865560788,493.308183992616,935.951599277049
600.053605918711,531.358487448797,1137.04831771022,1954.19461618056,256.355102977224,282.200643522024,476.564832666038,916.358609255693
588.002094961766,550.926359742127,1101.58029837759,1921.84168908894,250.665731274221,272.26161911047,457.797385416367,885.413383230295
621.567584917709,557.694334073874,1099.26815914646,1995.0834404282,246.321509089785,267.905626122702,445.81475539513,875.397617700342
611.941632366449,541.543031642131,1089.93682846813,1903.27844431859,244.687422762693,262.141791496201,434.198573827783,855.842948349209
584.887557680462,532.76102650475,1086.69947729754,1896.14043985235,238.588832872843,265.440226655411,420.728167396364,836.419442054365
589.976822926303,542.568075896714,1083.54360135033,1906.94678659696,233.870321007398,258.873949610063,422.060664981883,830.629515680898
587.952562884105,552.027037155623,1088.90837092488,2034.52886891747,231.015094864938,253.500922632955,407.317958679268,811.506508408087
607.7238657148,537.641477648407,1109.16895849528,1889.14638171094,227.605957328672,250.80624747914,396.843186713546,800.054816812932
588.773070476848,543.767464739972,1068.16228089406,2031.10357499096,225.246982318728,252.962397611249,388.428010468013,799.978692547373
588.068468828491,532.62880038054,1078.08577272441,1898.50378717318,221.707622918834,248.062321423589,388.319257377489,787.705532928261
588.748338279392,527.049355880822,1065.84882001825,1978.33521998642,222.525445552017,248.138543560874,382.402115932234,770.176975170167
588.993935447108,527.074847936639,1085.46876513753,1882.3346796454,218.80689599058,245.629309440034,375.35889200804,768.984690285637
589.641793488212,546.712655141998,1126.03574307658,2033.45511954964,214.42522037928,249.323466883975,369.458675125618,751.700704569719
591.530188956028,561.502551869125,1075.25257271613,1935.43994998969,211.59046296788,244.167508953394,372.808163783172,754.771736664183
