ID,pr_ann,pr_gwr_fg,pr_gwr_fb,pr_gwr_ag,pr_gwr_ab,pr_agwnn
894,0.778436556,0.979884089,0.820174604,0.974722914,0.978195118,0.988203145
895,0.770740376,0.975166405,0.817759387,0.970839193,0.973874327,0.987547767
896,0.792897212,0.978380213,0.833188939,0.976116707,0.97766278,0.987584872
897,0.790441107,0.978090825,0.831750832,0.974169332,0.976043877,0.986673748
898,0.745257074,0.979312908,0.806863068,0.974368879,0.977603117,0.988460887
899,0.762483298,0.97789589,0.80512016,0.973035158,0.976708728,0.987945522
900,0.785606821,0.97704882,0.82971641,0.974195328,0.975766304,0.98690495
901,0.800246208,0.980814753,0.842526747,0.978656791,0.980277307,0.988762061
902,0.767858654,0.97902858,0.821436294,0.974009557,0.977118589,0.986959076
903,0.785401812,0.979621802,0.82473767,0.976113523,0.97851575,0.987932576
904,0.772092746,0.978967866,0.826247571,0.973292183,0.976777525,0.987133582
905,0.794451884,0.977576459,0.840647317,0.97517385,0.976961801,0.985852788
906,0.759486196,0.97541449,0.807483163,0.971260908,0.972799912,0.985472258
907,0.750136113,0.975245244,0.802659282,0.972514964,0.97403513,0.985557547
908,0.752545164,0.975035509,0.807752253,0.971006427,0.97227429,0.98701011
909,0.804838626,0.980361468,0.849269751,0.976654532,0.9794616,0.989256861
910,0.772743722,0.976987527,0.82671564,0.972552362,0.975596289,0.987079792
911,0.794141793,0.974621029,0.827815342,0.96936481,0.972583285,0.985702611
912,0.749940659,0.97511525,0.804290398,0.968861609,0.972283159,0.985921572
913,0.782429523,0.977239884,0.831793154,0.972431364,0.975400019,0.986226187
914,0.750798163,0.974029115,0.807578714,0.970585121,0.971558455,0.985015829
915,0.773567525,0.979091982,0.821043889,0.975885392,0.978031353,0.986584897
916,0.754367421,0.972605531,0.813604081,0.96734662,0.970045374,0.986287938
917,0.791399299,0.977886453,0.826139744,0.971853955,0.974994617,0.988713039
918,0.767757851,0.979434138,0.819488844,0.97604306,0.978225565,0.988193369
919,0.74115663,0.978966841,0.795051296,0.974180163,0.977980335,0.9898466
920,0.77511915,0.978552674,0.821725251,0.973404176,0.976584002,0.987903785
921,0.786261601,0.978610527,0.839604048,0.971508658,0.974871984,0.98883362
922,0.759581545,0.976829526,0.805237736,0.973449712,0.974999297,0.987866704
923,0.782888782,0.979363391,0.829114417,0.975419067,0.977375576,0.988537959
924,0.78014865,0.977976289,0.819118097,0.974869,0.976721191,0.987482332
925,0.787973346,0.978923105,0.826329808,0.97628958,0.979039105,0.987839313
926,0.782608565,0.978080776,0.833427646,0.974072156,0.976356898,0.986470444
927,0.798079904,0.978343767,0.835988703,0.973663975,0.976894037,0.987566918
928,0.784176001,0.97701354,0.827260655,0.972111211,0.975045676,0.986183304
929,0.755522785,0.977810878,0.796071861,0.973705812,0.976801615,0.988635049
930,0.758127886,0.977320174,0.800314881,0.973328313,0.976692025,0.988284515
931,0.796515707,0.975850153,0.834380185,0.97078155,0.973764397,0.987396946
932,0.78684996,0.979836944,0.825466479,0.976230518,0.978643206,0.989855889
933,0.756740186,0.975684625,0.809488303,0.970562709,0.97422712,0.986827306
934,0.78762189,0.977914136,0.832243291,0.973720186,0.976475612,0.986215903
935,0.765139101,0.977721413,0.815069286,0.971950866,0.975037231,0.98558833
936,0.776754805,0.978265336,0.822227163,0.975075223,0.976779162,0.987185161
937,0.76205458,0.979795013,0.807434147,0.974121781,0.977837815,0.98725311
938,0.786470582,0.977837357,0.825841886,0.972964615,0.976145945,0.98753539
939,0.78936373,0.979208813,0.824287977,0.973953078,0.977950647,0.988241439
940,0.76859791,0.978486351,0.818830138,0.974729417,0.976879084,0.987294144
941,0.757589419,0.977013952,0.809917799,0.971091253,0.974679426,0.986605789
942,0.762510647,0.977039726,0.80310326,0.971162978,0.974249521,0.9869376
943,0.780389274,0.981146679,0.824113201,0.976505684,0.979240276,0.98860729
944,0.752914677,0.974984423,0.80201352,0.970565914,0.974608011,0.988034673
945,0.75223852,0.978561291,0.806032104,0.974055687,0.976631825,0.988065254
946,0.774810174,0.974798405,0.815689678,0.970622368,0.973759128,0.98703296
947,0.750869603,0.974864013,0.80078313,0.972032474,0.974263965,0.98820074
948,0.761594783,0.978717766,0.815369691,0.97424243,0.975804255,0.987737703
949,0.754440999,0.976318159,0.804094639,0.970986026,0.974433024,0.984815457
950,0.767087524,0.978329133,0.807966894,0.975633566,0.976745886,0.985978951
951,0.747790619,0.980112169,0.806234771,0.976494353,0.978993044,0.988562653
952,0.778254944,0.977164794,0.82457963,0.974336919,0.975686133,0.985419217
953,0.728530201,0.975739289,0.789503661,0.970772049,0.97398351,0.985062674
954,0.748673258,0.9763239,0.800842038,0.97327469,0.975676733,0.985428012
955,0.793928443,0.97796215,0.838233677,0.973829088,0.976513668,0.988374038
956,0.727727975,0.973823443,0.774830419,0.968572989,0.971878257,0.984778667
957,0.765389123,0.977751084,0.816846665,0.970432391,0.974730826,0.987962951
958,0.714648975,0.972682007,0.763939168,0.96592766,0.971034451,0.984032605
959,0.739691572,0.968715498,0.794578983,0.963677657,0.966587075,0.983505682
960,0.790288293,0.975343124,0.82919829,0.972048754,0.974419714,0.986407689
961,0.78990188,0.97791589,0.83581534,0.974667945,0.975821952,0.98728567
962,0.783165697,0.980325084,0.824220839,0.976333473,0.978521632,0.986761961
