ID,rmse_agwnn
1,0.460381032533809
2,0.468580588523999
3,0.480379343084632
4,0.485246034691401
5,0.490554130889379
6,0.493447045789416
7,0.482288216803942
8,0.531660141060181
9,0.493823447579039
10,0.503665567226755
11,0.50430064492473
12,0.507262756684148
13,0.475073349760626
14,0.490959075108951
15,0.50864608053145
16,0.456520390257098
17,0.506321790677286
18,0.534712010499039
19,0.468997481657877
20,0.528273609218075
21,0.472844409823601
22,0.486859922091595
23,0.488432108366858
24,0.470723555185733
25,0.527098053776566
26,0.500692898754657
27,0.506975050465599
28,0.49127441708164
29,0.490165276321239
30,0.492883350441047
31,0.426120565631222
32,0.503531837842464
33,0.484402402122664
34,0.466532272686023
35,0.502048203692041
36,0.477057916743782
37,0.489542526314053
38,0.48770010381567
39,0.489826524541466
40,0.497204152589219
41,0.480132919507058
42,0.477317192546117
43,0.510559638530324
44,0.481967516895035
45,0.496957293709921
46,0.494868638173549
47,0.47826040698908
48,0.492700492939489
49,0.473913196585697
50,0.47506458935267
51,0.497564595424993
52,0.494707868505594
53,0.516430795520794
54,0.50880238207346
55,0.503745421213922
56,0.463635621839761
57,0.49874980754884
58,0.530173445317841
59,0.485287510446723
60,0.532614809392613
61,0.498448139531388
62,0.471619208057449
63,0.484033215231198
64,0.473936681891257
65,0.478351532338695
66,0.515278174770723
67,0.501463022074574
68,0.52527167174436
69,0.482791107426057
70,0.517609730951816
71,0.465170134330892
72,0.529142740572345
73,0.477545238465408
74,0.507990860313525
75,0.487510477724955
76,0.512780635885656
77,0.468024585301259
78,0.46082700847701
79,0.496210950651286
80,0.49143468092715
81,0.477447195151361
82,0.487570917618887
83,0.443325944976646
84,0.449652086984895
85,0.538984244079502
86,0.487702252629664
87,0.491118279566503
88,0.482731863596929
89,0.486818205725426
90,0.516991780045941
91,0.488734890979134
92,0.481945278063281
93,0.505635311909839
94,0.489062807442687
95,0.50592727752543
96,0.511714153708803
97,0.543972175569514
98,0.478139706572788
99,0.50858335190307
100,0.48758724308444
101,0.469774548585425
102,0.485801071274756
103,0.502482523131605
104,0.506729572721139
105,0.486729952614813
106,0.47588401395676
107,0.511415087094747
108,0.486109299298999
109,0.485228480416528
110,0.532252758296607
111,0.487770629518218
112,0.485316843755585
113,0.51391977686024
114,0.480103509894257
115,0.483924248828207
116,0.52945583613768
117,0.506196867677592
118,0.515994235682821
119,0.480587425432911
120,0.500826798959914
