OBeta0,OBeta1,OBeta2,OBeta3,GWRFGBetaHat0,GWRFGBetaHat1,GWRFGBetaHat2,GWRFGBetaHat3,GWRFBBetaHat0,GWRFBBetaHat1,GWRFBBetaHat2,GWRFBBetaHat3,GWRAGBetaHat0,GWRAGBetaHat1,GWRAGBetaHat2,GWRAGBetaHat3,GWRABBetaHat0,GWRABBetaHat1,GWRABBetaHat2,GWRABBetaHat3,AGWNNBetaHat0,AGWNNBetaHat1,AGWNNBetaHat2,AGWNNBetaHat3,U,V
0.315789473684211,2.70091735023519,3.46991550219406,0.965374003462807,0.437223069125839,2.70225455488202,3.45505871561229,0.867120673641085,1.60643359728681,3.22132332996502,1.77281037362431,1.56480018087291,-0.0966698787191436,2.92493756151606,3.7245003027572,0.844905357327955,0.209184251796816,2.78911424019134,3.63189525461446,0.803951305267302,1.96977966087681,2.04750725117122,3.46960977109438,0.318855517142945,2.10526315789474,1.05263157894737
0.421052631578947,2.82499558781777,2.98553079964612,1.61255491525658,0.839846706498698,2.65222702748271,2.53952252730518,1.56703811615639,1.49026297186354,3.28337362906555,1.76687746549161,1.62008818700375,1.06121633199127,2.52247931890501,2.50105316847093,1.5488805131041,0.964901402662823,2.52480652157578,2.58737321953387,1.57631111098334,1.73015626580903,2.2072036321115,2.72942215725661,1.61690638850074,3.15789473684211,1.05263157894737
0.526315789473684,2.93134836288856,2.38260545768287,2.0903332418101,1.29363349450303,2.83836653965036,1.62079539304239,1.91173963336907,1.42044793826666,3.33406937200154,1.76218551150801,1.66274035816388,1.39686504742159,2.98867670709623,1.40383307873767,1.84566708778071,1.31283608624782,2.921528103277,1.52924302495114,1.92375274311155,1.13565892757019,2.55135510085857,2.13484706638567,2.56788109220206,4.21052631578947,1.05263157894737
0.631578947368421,3.01997567544755,1.72647579245661,2.19722079400633,1.35075644173173,3.04566518034257,0.972816851637876,1.97008035739305,1.38683964869088,3.37358652939776,1.75822489986254,1.69526649625868,1.39755728374723,3.01878853991368,0.785725840138568,2.13354449171067,1.41602130197517,3.04498104397195,0.870373140028194,2.03490988125167,0.662622101697796,2.84549441104258,1.41993351095812,2.6527668245321,5.26315789473684,1.05263157894737
0.736842105263158,3.09087752549474,1.08824363409533,1.88814106222935,1.31499782960226,2.87280182447307,0.741718876311661,1.80223727144868,1.37950454231351,3.40304540819443,1.75483794516558,1.72052971251255,1.55347370108421,2.8035972675559,0.791399147477149,1.53670436050763,1.47358010518938,2.78333251021912,0.748355729625079,1.6654952398581,0.754933664497357,3.06493998356059,0.744654437624025,2.15740727191532,6.31578947368421,1.05263157894737
0.842105263157895,3.14405391303013,0.537071340149788,1.29343883607594,1.52690505297872,2.63141883986876,0.870556858029939,1.18388391718432,1.39024985230861,3.42383012206115,1.75213265622212,1.74101854908152,1.18914073512416,2.66453525101708,0.945049151363315,1.31364887139826,1.40811425785974,2.57426098381783,0.928455770794738,1.19739192801504,1.14434979184045,3.15400507583065,0.383621209390366,1.35296263034972,7.36842105263158,1.05263157894737
0.947368421052632,3.17950483805373,0.132686980988291,0.66391133248118,1.39958983547226,2.94938817598041,0.851642608523708,0.613368826174812,1.41293025517253,3.43718747052747,1.75039323641976,1.75864991363405,1.49285970132754,2.88084470856217,0.97747757286777,0.450164653974073,1.51024954386556,2.86409937724117,0.883168118141381,0.485395845716295,1.30232915169185,3.12281991607611,0.279047987053319,0.454487191255868,8.42105263157895,1.05263157894737
1.05263157894737,3.19723030056553,0.0810881234041754,0.265042248902972,0.635623643864921,3.75479984539488,0.818871042570482,0.31290403855117,1.4432019480227,3.44403698917887,1.75003060176966,1.77480140606899,0.584397861468133,3.7835956880886,0.792788739864493,0.313029335317801,0.528592478460231,3.8226063164811,0.801592087037224,0.275920749466887,1.18826382436307,3.24064068237835,0.245827246381795,-0.0439715644960572,9.47368421052632,1.05263157894737
1.15789473684211,3.19723030056553,0.0810881234041756,0.265042248902972,0.428692636718961,4.1106646282169,0.846853366922339,0.145361546223353,1.4781218167742,3.44489951789537,1.75157059756688,1.79039899532125,0.386276406912795,4.04294714466387,0.960712060196635,0.0937873880411174,0.293511978257491,4.11258897027649,0.936265222356173,0.110605023222462,1.05077820145155,3.34535511318818,0.195571039627701,0.166889898127552,10.5263157894737,1.05263157894737
1.26315789473684,3.17950483805373,0.132686980988291,0.663911332481179,0.929883318537865,3.95349409844288,0.666426147252036,0.188030443632937,1.51576782963138,3.4398785839173,1.75566718881395,1.80597982565421,0.885361424023798,3.9492631564417,0.568998062074607,0.201961454026373,0.907993427291547,3.92512773213505,0.618588951921051,0.164553968159988,1.14609106794057,3.28028701919367,0.179235566198336,0.852338474209335,11.5789473684211,1.05263157894737
1.36842105263158,3.14405391303013,0.537071340149787,1.29343883607594,1.59333770429196,3.55860459572012,0.513730220858522,0.631030036200881,1.55493261943478,3.4286613104666,1.76312843572077,1.82169629875773,1.9922999803337,3.54090974608091,0.211509958039554,0.434771798834361,2.00052062597736,3.50715699707183,0.166959508493659,0.478020460750051,1.46838100759255,3.13517714448946,0.36688165772439,1.41633869285623,12.6315789473684,1.05263157894737
1.47368421052632,3.09087752549474,1.08824363409533,1.88814106222935,1.62228886719728,3.1785117458746,0.997962728760478,1.73184362776873,1.59488341284349,3.41053234716992,1.77494363472704,1.83724610861907,1.93747265266609,2.93904458817037,0.980316307747135,1.69099379571141,1.90568668883966,2.9910762116998,0.898438456402756,1.74500875976747,1.86721087230381,3.12328014228347,0.938891547228005,1.55473188744985,13.6842105263158,1.05263157894737
1.57894736842105,3.01997567544755,1.7264757924566,2.19722079400633,0.948386302738146,3.03947686375757,1.93801923721015,2.72527751076845,1.63515113414553,3.38441837241502,1.79229672158381,1.85172625572834,1.01071295348468,3.02970684595714,1.84122812242153,2.84106440763629,1.09761754886713,2.95187135568364,1.85063149081174,2.8557057266175,2.13198858250414,3.22884618098465,1.76386754205368,1.53175435412994,14.7368421052632,1.05263157894737
1.68421052631579,2.93134836288856,2.38260545768287,2.0903332418101,0.423868078438174,3.12146334083856,2.67028130984017,2.8088668689693,1.67528568271945,3.34900700700259,1.81654156651356,1.86344298406363,0.376603780377944,3.11428641137098,2.66134118911546,2.90347730172045,0.379031384402277,3.12732964819115,2.67144134146923,2.90479328454184,2.11326486801625,3.35446110245689,2.40048396853937,1.63733600996625,15.7894736842105,1.05263157894737
